"","DATE","Tmax","Tmin","Year","Month","Day","JDay","Hour","Temp"
"1",2021-10-28 00:00:00,21.7,11.1,2021,10,28,301,0,11.1
"11",2021-10-28 01:00:00,21.7,11.1,2021,10,28,301,1,11.1
"21",2021-10-28 02:00:00,21.7,11.1,2021,10,28,301,2,11.1
"31",2021-10-28 03:00:00,21.7,11.1,2021,10,28,301,3,11.1
"41",2021-10-28 04:00:00,21.7,11.1,2021,10,28,301,4,11.1
"51",2021-10-28 05:00:00,21.7,11.1,2021,10,28,301,5,11.1
"61",2021-10-28 06:00:00,21.7,11.1,2021,10,28,301,6,11.1
"71",2021-10-28 07:00:00,21.7,11.1,2021,10,28,301,7,11.9484437842878
"81",2021-10-28 08:00:00,21.7,11.1,2021,10,28,301,8,14.1623665351014
"91",2021-10-28 09:00:00,21.7,11.1,2021,10,28,301,9,16.2379385314298
"101",2021-10-28 10:00:00,21.7,11.1,2021,10,28,301,10,18.0813901515152
"111",2021-10-28 11:00:00,21.7,11.1,2021,10,28,301,11,19.609438444224
"121",2021-10-28 12:00:00,21.7,11.1,2021,10,28,301,12,20.7530496633463
"131",2021-10-28 13:00:00,21.7,11.1,2021,10,28,301,13,21.4605580552273
"141",2021-10-28 14:00:00,21.7,11.1,2021,10,28,301,14,21.7
"151",2021-10-28 15:00:00,21.7,11.1,2021,10,28,301,15,21.4605580552273
"161",2021-10-28 16:00:00,21.7,11.1,2021,10,28,301,16,20.7530496633463
"171",2021-10-28 17:00:00,21.7,11.1,2021,10,28,301,17,19.609438444224
"181",2021-10-28 18:00:00,21.7,11.1,2021,10,28,301,18,16.4276578867948
"191",2021-10-28 19:00:00,21.7,11.1,2021,10,28,301,19,13.8056196283629
"201",2021-10-28 20:00:00,21.7,11.1,2021,10,28,301,20,12.0412405288637
"211",2021-10-28 21:00:00,21.7,11.1,2021,10,28,301,21,10.7096635079185
"221",2021-10-28 22:00:00,21.7,11.1,2021,10,28,301,22,9.63983871969316
"231",2021-10-28 23:00:00,21.7,11.1,2021,10,28,301,23,8.74557324244259
"2",2022-01-21 00:00:00,18.9,4.4,2022,1,21,21,0,7.75644603728267
"12",2022-01-21 01:00:00,18.9,4.4,2022,1,21,21,1,7.04820397596136
"22",2022-01-21 02:00:00,18.9,4.4,2022,1,21,21,2,6.4177537355119
"32",2022-01-21 03:00:00,18.9,4.4,2022,1,21,21,3,5.84968505469822
"42",2022-01-21 04:00:00,18.9,4.4,2022,1,21,21,4,5.33275687205462
"52",2022-01-21 05:00:00,18.9,4.4,2022,1,21,21,5,4.8585170046519
"62",2022-01-21 06:00:00,18.9,4.4,2022,1,21,21,6,4.42044965234606
"72",2022-01-21 07:00:00,18.9,4.4,2022,1,21,21,7,4.01342563776892
"82",2022-01-21 08:00:00,18.9,4.4,2022,1,21,21,8,7.49342656320334
"92",2022-01-21 09:00:00,18.9,4.4,2022,1,21,21,9,10.5887071942506
"102",2022-01-21 10:00:00,18.9,4.4,2022,1,21,21,10,13.3693270474616
"112",2022-01-21 11:00:00,18.9,4.4,2022,1,21,21,11,15.6939073213492
"122",2022-01-21 12:00:00,18.9,4.4,2022,1,21,21,12,17.4442562491733
"132",2022-01-21 13:00:00,18.9,4.4,2022,1,21,21,13,18.531378482176
"142",2022-01-21 14:00:00,18.9,4.4,2022,1,21,21,14,18.9
"152",2022-01-21 15:00:00,18.9,4.4,2022,1,21,21,15,18.531378482176
"162",2022-01-21 16:00:00,18.9,4.4,2022,1,21,21,16,17.4442562491733
"172",2022-01-21 17:00:00,18.9,4.4,2022,1,21,21,17,15.711008863036
"182",2022-01-21 18:00:00,18.9,4.4,2022,1,21,21,18,14.5527724797107
"192",2022-01-21 19:00:00,18.9,4.4,2022,1,21,21,19,13.8652641073407
"202",2022-01-21 20:00:00,18.9,4.4,2022,1,21,21,20,13.3746352420305
"212",2022-01-21 21:00:00,18.9,4.4,2022,1,21,21,21,12.9928747554075
"222",2022-01-21 22:00:00,18.9,4.4,2022,1,21,21,22,12.6803344659439
"232",2022-01-21 23:00:00,18.9,4.4,2022,1,21,21,23,12.4157240266392
"3",2022-01-22 00:00:00,18.9,11.1,2022,1,22,22,0,12.0893780472324
"13",2022-01-22 01:00:00,18.9,11.1,2022,1,22,22,1,11.882289074266
"23",2022-01-22 02:00:00,18.9,11.1,2022,1,22,22,2,11.6969301299427
"33",2022-01-22 03:00:00,18.9,11.1,2022,1,22,22,3,11.5291708914478
"43",2022-01-22 04:00:00,18.9,11.1,2022,1,22,22,4,11.3759571073824
"53",2022-01-22 05:00:00,18.9,11.1,2022,1,22,22,5,11.2349664864354
"63",2022-01-22 06:00:00,18.9,11.1,2022,1,22,22,6,11.1043920127726
"73",2022-01-22 07:00:00,18.9,11.1,2022,1,22,22,7,10.9827999477507
"83",2022-01-22 08:00:00,18.9,11.1,2022,1,22,22,8,12.7842675463942
"93",2022-01-22 09:00:00,18.9,11.1,2022,1,22,22,9,14.4446892893056
"103",2022-01-22 10:00:00,18.9,11.1,2022,1,22,22,10,15.9357147539498
"113",2022-01-22 11:00:00,18.9,11.1,2022,1,22,22,11,17.1818289544295
"123",2022-01-22 12:00:00,18.9,11.1,2022,1,22,22,12,18.1199207645389
"133",2022-01-22 13:00:00,18.9,11.1,2022,1,22,22,13,18.7024792654569
"143",2022-01-22 14:00:00,18.9,11.1,2022,1,22,22,14,18.9
