,JDay,Sunrise,Sunset,Daylength
280,280,6.204583168,17.79541683,11.59083366
281,281,6.225097131,17.77490287,11.54980574
282,282,6.245580407,17.75441959,11.50883919
283,283,6.266029663,17.73397034,11.46794067
284,284,6.286441457,17.71355854,11.42711709
285,285,6.306812229,17.69318777,11.38637554
286,286,6.327138298,17.6728617,11.3457234
287,287,6.347415855,17.65258414,11.30516829
288,288,6.36764096,17.63235904,11.26471808
289,289,6.387809533,17.61219047,11.22438093
290,290,6.407917353,17.59208265,11.18416529
291,291,6.427960052,17.57203995,11.1440799
292,292,6.447933109,17.55206689,11.10413378
293,293,6.467831847,17.53216815,11.06433631
294,294,6.48765143,17.51234857,11.02469714
295,295,6.507386856,17.49261314,10.98522629
296,296,6.527032957,17.47296704,10.94593409
297,297,6.546584394,17.45341561,10.90683121
298,298,6.566035654,17.43396435,10.86792869
299,299,6.585381046,17.41461895,10.82923791
300,300,6.604614703,17.3953853,10.79077059
301,301,6.623730577,17.37626942,10.75253885
302,302,6.642722439,17.35727756,10.71455512
303,303,6.661583874,17.33841613,10.67683225
304,304,6.680308289,17.31969171,10.63938342
305,305,6.698888905,17.30111109,10.60222219
306,306,6.717318763,17.28268124,10.56536247
307,307,6.73559072,17.26440928,10.52881856
308,308,6.753697456,17.24630254,10.49260509
309,309,6.771631476,17.22836852,10.45673705
310,310,6.789385109,17.21061489,10.42122978
311,311,6.806950514,17.19304949,10.38609897
312,312,6.824319687,17.17568031,10.35136063
313,313,6.841484464,17.15851554,10.31703107
314,314,6.858436526,17.14156347,10.28312695
315,315,6.875167407,17.12483259,10.24966519
316,316,6.891668503,17.1083315,10.21666299
317,317,6.907931078,17.09206892,10.18413784
318,318,6.923946275,17.07605372,10.15210745
319,319,6.939705126,17.06029487,10.12058975
320,320,6.955198561,17.04480144,10.08960288
321,321,6.970417422,17.02958258,10.05916516
322,322,6.985352476,17.01464752,10.02929505
323,323,6.999994428,17.00000557,10.00001114
324,324,7.014333932,16.98566607,9.971332137
325,325,7.028361611,16.97163839,9.943276778
326,326,7.042068072,16.95793193,9.915863857
327,327,7.05544392,16.94455608,9.889112161
328,328,7.068479778,16.93152022,9.863040444
