Pop,Bench,Block,Position,Cohort,long.repro.census.date,long.flower.bud.count,long.mature.fruit.count,long.pedicel.count,long.STTO.BH.height.cm,long.repro.notes,short.repro.census.date,short.flower.bud.count,short.mature.fruit.count,short.pedicel.count,short.STTO.BH.height.cm,short.repro.notes,transplant.height.cm,transplant.height.notes,Mid.Season.Height.Pheno.Stage,Mid.Season.Height.cm,Mid.Season.Height.Notes,First.Bud.Date,first.bud.height.cm,First.Flower.Date,first.flower.height.cm,First.Fruit.Date,first.fruit.height.cm,Death.Date,phenology.notes,biomass.BGB.STTO.BH.g,total.ABG.biomass,biomass.notes,plant.date,transplant.date,rando.date,long.fruit.count.seeds,long.seed.counts,long.seed.weight.g,Season,Species
CAAM,1,12,A03,cohort 1,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,1.2,,X,NA,,NA,NA,NA,NA,NA,NA,12/31/21,,NA,0,,9/20/21,10/7/21,10/28/21,0,0,0,LONG,CAAM
CAAM,1,12,A05,cohort 1,6/22/22,N/A,N/A,N/A,N/A,ON SHORT SEASON BENCH-AC,6/1/22,0,0,4,NA,ON SHORT SEASON BENCH,1.5,,FR,14.5,,2/1/22,NA,2/18/22,NA,3/4/22,15,NA,,NA,0.0407,,9/20/21,10/7/21,10/28/21,1,1,0.0026,SHORT,CAAM
CAAM,1,12,B12,cohort 1,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,2.2,,FR,8.6,,1/27/22,NA,2/11/22,NA,2/21/22,9,5/23/22,,NA,0.0058,,9/20/21,10/7/21,10/28/21,1,2,0.0031,LONG,CAAM
CAAM,1,12,E01,cohort 1,6/22/22,N/A,N/A,N/A,N/A,ON SHORT SEASON BENCH- AC,6/1/22,NA,NA,NA,NA,ON SHORT SEASON BENCH- AC,3.2,,FL,16.1,,2/7/22,NA,3/2/22,NA,3/11/22,16.2,NA,,NA,0.034, ,9/20/21,10/7/21,10/28/21,1,1,0.0019,SHORT,CAAM
CAAM,1,12,F04,cohort 1,6/22/22,N/A,N/A,N/A,N/A,ON SHORT SEASON BENCH-AC,6/1/22,0,0,13,NA,ON SHORT SEASON BENCH,1.7,,FL,21,,2/14/22,NA,3/2/22,24.1,4/15/22,27.8,NA,,NA,0.0633,,9/20/21,10/7/21,10/28/21,0,0,0,SHORT,CAAM
CAAM,1,12,F06,cohort 1,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,17,NA,,2.5,,FR,18.8,,1/24/22,NA,2/3/22,NA,3/4/22,19.6,NA,,NA,0.0468,,9/20/21,10/7/21,10/28/21,1,1,0.0032,LONG,CAAM
CAAM,2,8,A03,cohort 1,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,1.6,,FL,13.9,,2/11/22,NA,3/2/22,NA,3/28/22,13.9,5/23/22,,NA,0.0286,,9/20/21,10/7/21,10/28/21,1,2,0.0031,LONG,CAAM
CAAM,2,8,A07,cohort 1,6/22/22,N/A,N/A,N/A,N/A,ON SHORT SEASON BENCH-AC,6/1/22,0,0,4,NA,ON SHORT SEASON BENCH,1.5,,FL,20.6,,2/9/22,NA,2/28/22,NA,3/11/22,21,NA,,NA,0.037,,9/20/21,10/7/21,10/28/21,1,5,0.0081,SHORT,CAAM
CAAM,2,8,B02,cohort 1,6/22/22,N/A,N/A,N/A,N/A,ON SHORT SEASON BENCH- AC,6/1/22,NA,NA,NA,NA,ON SHORT SEASON BENCH- AC,0.9,,FL,22.6,,1/31/22,NA,2/16/22,NA,3/14/22,23,NA,,NA,0.039, ,9/20/21,10/7/21,10/28/21,0,0,0,SHORT,CAAM
CAAM,2,8,C07,cohort 1,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,0.6,,FL,17.4,dried,1/18/22,NA,1/31/22,NA,2/14/22,NA,3/4/22,,NA,0.0774,,9/20/21,10/7/21,10/28/21,0,0,0,LONG,CAAM
CAAM,2,8,C11,cohort 1,6/22/22,0,1,4,,,6/1/22,0,0,4,NA,,1.2,,FR,17.7,,2/7/22,NA,2/23/22,NA,3/11/22,18,NA,already had pick for fruit but no record,NA,0.0359,,9/20/21,10/7/21,10/28/21,1,2,0.0026,LONG,CAAM
CAAM,2,8,D08,cohort 1,6/22/22,N/A,N/A,N/A,N/A,ON SHORT SEASON BENCH-AC,6/1/22,0,0,4,NA,ON SHORT SEASON BENCH,1.7,,FR,14.3,,1/21/22,NA,4/2/22,NA,4/13/22,13.6,NA,,NA,0.034,,9/20/21,10/7/21,10/28/21,1,7,0.0098,SHORT,CAAM
CAAM,3,9,A01,cohort 1,6/22/22,N/A,N/A,N/A,N/A,ON SHORT SEASON BENCH - AC,6/1/22,NA,NA,NA,NA,ON SHORT SEASON BENCH - AC,0.7,,FL,11.6,,2/16/22,NA,3/7/22,NA,3/16/22,11.2,NA,,NA,0.0168,,9/20/21,10/7/21,10/28/21,1,1,7.00E-04,SHORT,CAAM
CAAM,3,9,A05,cohort 1,6/22/22,0,0,2,,,6/1/22,0,0,3,NA,,1,,FR,17.5,,2/11/22,NA,2/25/22,NA,3/9/22,17.2,NA,,NA,0.0263,,9/20/21,10/7/21,10/28/21,1,3,0.005,LONG,CAAM
CAAM,3,9,C05,cohort 1,6/22/22,NA,NA,NA,NA,AC,6/1/22,NA,NA,NA,NA,AC,1,,FR,18.7,,2/3/22,NA,2/21/22,NA,3/9/22,18.3,NA,,NA,0.0188,,9/20/21,10/7/21,10/28/21,1,2,0.0028,LONG,CAAM
CAAM,3,9,D02,cohort 1,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,1.8,,FR,14.9,,1/14/22,NA,1/24/22,NA,2/16/22,14.6,4/13/22,height recorded 3/30,NA,0.0663,,9/20/21,10/7/21,10/28/21,1,7,0.0087,LONG,CAAM
CAAM,3,9,F10,cohort 1,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,2.2,,X,NA,,NA,NA,NA,NA,NA,NA,1/27/22,fungus?,NA,0,NO PLANT,9/20/21,10/7/21,10/28/21,0,0,0,LONG,CAAM
CAAM,3,9,G01,cohort 1,6/22/22,0,0,3,,,6/1/22,1,0,2,NA,,2.6,,FR,18.9,,1/31/22,NA,2/18/22,NA,3/9/22,18.5,NA,,NA,0.0549,,9/20/21,10/7/21,10/28/21,1,2,0.0027,LONG,CAAM
CAAM,4,5,A07,cohort 1,6/22/22,NA,NA,NA,NA,AC,6/1/22,NA,NA,NA,NA,AC,1.6,,FR,22,,1/10/22,NA,1/24/22,NA,2/14/22,20.6,NA,height recorded 4/4,NA,0.0508,,9/20/21,10/7/21,10/28/21,1,1,0.0023,LONG,CAAM
CAAM,4,5,B02,cohort 1,6/22/22,NA,NA,NA,NA,ON SHORT SEASON BENCH-AC,6/1/22,0,0,3,NA,ON SHORT SEASON BENCH,1.5,,FR,17.6,,2/2/22,NA,2/28/22,NA,3/11/22,17.6,NA,,NA,0.0334,,9/20/21,10/7/21,10/28/21,1,3,0.0048,SHORT,CAAM
CAAM,4,5,D06,cohort 1,6/22/22,NA,NA,NA,NA,ON SHORT SEASON BENCH-AC,6/1/22,0,0,3,NA,ON SHORT SEASON BENCH,2.1,,FR,17.1,,1/24/22,NA,2/7/22,NA,3/2/22,16.2,NA,height recorded 4/4,NA,0.0344,,9/20/21,10/7/21,10/28/21,2,10,0.0133,SHORT,CAAM
CAAM,4,5,E13,cohort 1,6/22/22,0,0,4,,,6/1/22,0,2,3,NA,FRUIT COLLECTED,1.7,,FR,11.2,,2/11/22,NA,3/2/22,NA,3/16/22,10.3,NA,,NA,0.0115,,9/20/21,10/7/21,10/28/21,1,0,0,LONG,CAAM
CAAM,4,5,G03,cohort 1,6/22/22,NA,NA,NA,NA,ON SHORT SEASON BENCH-AC,6/1/22,0,0,13,NA,ON SHORT SEASON BENCH,2.3,,FL,20.8,,2/14/22,NA,3/7/22,26.5,4/7/22,28.1,NA,height recorded 4/4,NA,0.0569,,9/20/21,10/7/21,10/28/21,0,0,0,SHORT,CAAM
CAAM,4,5,G05,cohort 1,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,2,3,NA,,1.4,,B,9.1,,2/18/22,NA,3/14/22,11.9,4/7/22,13.1,NA,,NA,0.0092,,9/20/21,10/7/21,10/28/21,1,0,0,LONG,CAAM
CAAM,1,12,B02,cohort 2,6/22/22,NA,NA,NA,NA,AC,6/1/22,1,0,1,NA,,0.9,,FL,14.6,,2/16/22,NA,3/4/22,NA,3/28/22,15.2,NA,,NA,0.0261,,10/11/21,10/28/21,11/18/21,1,1,0.0021,LONG,CAAM
CAAM,1,12,D04,cohort 2,6/22/22,0,2,7,,,6/1/22,0,0,15,NA,,1,,FL,15.6,,2/16/22,NA,3/7/22,NA,3/25/22,16.3,NA,,NA,0.0451,,10/11/21,10/28/21,11/18/21,3,2,0.0028,LONG,CAAM
CAAM,1,12,F08,cohort 2,6/22/22,0,1,3,,,6/1/22,0,1,4,NA,,0.8,,B,12.2,,2/21/22,NA,3/16/22,14.5,3/25/22,14.2,NA,,NA,0.0171,,10/11/21,10/28/21,11/18/21,1,0,0,LONG,CAAM
CAAM,1,12,F14,cohort 2,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,1.3,,B,16.2,,3/4/22,NA,3/23/22,11.5,4/1/22,11.5,5/23/22,,NA,0.0206,,10/11/21,10/28/21,11/18/21,1,1,0.0018,LONG,CAAM
CAAM,1,12,G03,cohort 2,6/22/22,NA,NA,NA,NA,AC,6/1/22,NA,NA,NA,NA,AC,0.7,,FL,10.7,,2/21/22,NA,3/4/22,NA,3/16/22,11.4,NA,,NA,0.0159,,10/11/21,10/28/21,11/18/21,2,1,0.0018,LONG,CAAM
CAAM,1,12,G07,cohort 2,6/22/22,0,0,3,,,6/1/22,0,0,3,NA,,0.9,,FL,10.2,,2/16/22,NA,3/4/22,NA,3/21/22,10.7,NA,,NA,0.0226,,10/11/21,10/28/21,11/18/21,1,2,0.0023,LONG,CAAM
CAAM,2,8,A13,cohort 2,6/22/22,0,1,2,,,6/1/22,2,1,0,NA,,0.7,,V,2.3,,3/16/22,4.2,4/13/22,6.8,4/15/22,7,NA,,NA,0.0076,,10/11/21,10/28/21,11/18/21,0,0,0,LONG,CAAM
CAAM,2,8,B04,cohort 2,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,3,NA,,0.8,,B,8.7,,3/2/22,NA,NA,NA,3/23/22,12.2,NA,,NA,0.017,,10/11/21,10/28/21,11/18/21,1,2,0.0029,LONG,CAAM
CAAM,2,8,C03,cohort 2,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,0.6,,FL,13.5,,3/2/22,NA,3/9/22,13.1,3/25/22,16.8,5/11/22,,NA,0.0416,,10/11/21,10/28/21,11/18/21,2,8,0.007,LONG,CAAM
CAAM,2,8,D14,cohort 2,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,3,NA,,0.9,,FL,10.8,,2/21/22,NA,NA,NA,4/4/22,11.4,NA,,NA,0.0129,,10/11/21,10/28/21,11/18/21,1,1,0.0014,LONG,CAAM
CAAM,2,8,F10,cohort 2,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,1,,X,NA,,NA,NA,NA,NA,NA,NA,1/7/22,,NA,0,,10/11/21,10/28/21,11/18/21,0,0,0,LONG,CAAM
CAAM,2,8,G07,cohort 2,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,1,NA,,0.7,,FR,10.7,,2/14/22,NA,3/2/22,NA,3/11/22,11,NA,,NA,0.0112,,10/11/21,10/28/21,11/18/21,1,2,0.0031,LONG,CAAM
CAAM,3,9,D10,cohort 2,6/22/22,0,0,4,,,6/1/22,0,0,2,NA,,1,,B,11.8,,2/21/22,NA,3/16/22,14.1,3/25/22,15.4,NA,,NA,0.0511,,10/11/21,10/28/21,11/18/21,3,3,0.0041,LONG,CAAM
