,Pop,Bench,Block,Position,Cohort,long.repro.census.date,long.flower.bud.count,long.mature.fruit.count,long.pedicel.count,long.STTO.BH.height.cm,long.repro.notes,short.repro.census.date,short.flower.bud.count,short.mature.fruit.count,short.pedicel.count,short.STTO.BH.height.cm,short.repro.notes,transplant.height.cm,transplant.height.notes,Mid.Season.Height.Pheno.Stage,Mid.Season.Height.cm,Mid.Season.Height.Notes,First.Bud.Date,first.bud.height.cm,First.Flower.Date,first.flower.height.cm,First.Fruit.Date,first.fruit.height.cm,Death.Date,phenology.notes,biomass.BGB.STTO.BH.g,total.ABG.biomass,biomass.notes,plant.date,transplant.date,rando.date,long.fruit.count.seeds,long.seed.counts,long.seed.weight.g,Season,Species,First.Bud.Date.jday,First.Flower.Date.jday,First.Fruit.Date.jday,rando.date.jday,Bud.season_days,Bud.data_days,Bud.perc_complete,Bud.chilling_Hours,Bud.utah_Model,Bud.chill_portions,Bud.GDH,Flower.season_days,Flower.data_days,Flower.perc_complete,Flower.chilling_Hours,Flower.utah_Model,Flower.chill_portions,Flower.GDH,Fruit.season_days,Fruit.data_days,Fruit.perc_complete,Fruit.chilling_Hours,Fruit.utah_Model,Fruit.chill_portions,Fruit.GDH,Bud.PTU,flower.PTU,fruit.PTU,bud.to.fruit.PTU
1,CAAN1,1,14,A01,cohort 6,6/22/22,0,0,2,,,6/1/22,2,1,0,NA,,0.4,,V,0.5,,4/11/22,1.1,4/27/22,2,5/2/22,2,NA,,NA,0.0023,,1/10/22,1/27/22,2/17/22,1,0,0,LONG,CAAN,101,117,122,48,54,54,100,164,-121.5,4.365625159,11424.21097,70,70,100,191,-195.5,4.365625159,15004.62136,75,75,100,191,-238,4.365625159,16021.10305,10709.31752,14463.93533,15891.39056,5370.229718
2,CAAN1,1,14,A03,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT,6/1/22,NA,NA,NA,NA,NO PLANT,0.4,Late cohort 8 petri dish,,NA,not in yet,NA,NA,NA,NA,NA,NA,NA,,NA,0,NO PLANT,3/7/22,3/24/22,4/14/22,0,0,0,LONG,CAAN,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,CAAN1,1,14,A05,cohort 3,6/22/22,NA,NA,NA,NA,AC,6/1/22,NA,NA,NA,NA,AC,0.9,,FR,8.8,,2/7/22,NA,2/21/22,NA,3/4/22,8.6,NA,,NA,0.0121,,11/1/21,11/18/21,12/9/21,1,3,0.0014,LONG,CAAN,38,52,63,343,61,61,100,594,724,33.57899568,7223.86301,75,75,100,657,757,34.58420648,10070.82512,86,86,100,727,785,37.77368306,12040.42635,5552.538851,7879.178594,9562.689647,4162.705205
4,CAAN1,1,14,A07,cohort 4,6/22/22,NA,NA,NA,NA,AC,6/1/22,NA,NA,NA,NA,AC,0.8,,FR,12.3,,2/7/22,NA,2/18/22,NA,3/4/22,8.4,NA,,NA,0.0252,,11/22/21,12/9/21,12/30/21,2,11,0.0054,LONG,CAAN,38,49,63,364,40,40,100,356,362.5,18.02194371,5720.138688,51,51,100,397,381,19.02715451,8000.407738,65,65,100,489,423.5,22.21663109,10536.70202,4246.130032,6111.692532,8256.280828,4162.705205
5,CAAN1,1,14,A09,cohort 2,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,1.4,,FR,11.6,,2/16/22,NA,2/25/22,NA,3/4/22,12.1,5/11/22,,NA,0.0176,,10/11/21,10/28/21,11/18/21,1,6,0.0027,LONG,CAAN,47,56,63,322,91,91,100,718,902.5,42.68286873,12594.62637,100,100,100,799,944.5,44.86650099,14141.9373,107,107,100,821,950.5,45.87234531,15551.43829,9546.293355,10808.36505,12020.29482,2644.483422
6,CAAN1,1,14,A13,cohort 4,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,0.6,,FR,10.5,,2/11/22,NA,2/21/22,NA,3/2/22,10.7,5/11/22,,NA,0.013,,11/22/21,12/9/21,12/30/21,2,7,0.0031,LONG,CAAN,42,52,61,364,44,44,100,376,365.5,18.02194371,6548.096705,54,54,100,419,395.5,19.02715451,8567.100794,63,63,100,489,419,22.21663109,10116.29324,4945.035858,6572.769775,7939.142553,3183.73827
7,CAAN1,1,14,B02,cohort 6,6/22/22,0,0,2,,,6/1/22,1,0,0,NA,,0.8,,V,0.6,,4/20/22,4.2,NA,NA,NA,NA,NA,,NA,0.0034,,1/10/22,1/27/22,2/17/22,0,0,0,LONG,CAAN,110,NA,NA,48,63,63,100,191,-141,4.365625159,13462.33355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12583.22611,NA,NA,NA
8,CAAN1,1,14,B04,cohort 3,6/22/22,0,0,4,,,6/1/22,0,0,2,NA,,0.6,cohort 2,FL,5,,2/7/22,NA,2/21/22,5.5,NA,NA,NA,,NA,0.0037,,11/1/21,11/18/21,12/9/21,0,0,0,LONG,CAAN,38,52,NA,343,61,61,100,594,724,33.57899568,7223.86301,75,75,100,657,757,34.58420648,10070.82512,NA,NA,NA,NA,NA,NA,NA,5552.538851,7879.178594,NA,NA
9,CAAN1,1,14,B06,cohort 5,6/22/22,0,0,3,,,6/1/22,1,0,0,NA,,0.9,,V,0.5,,4/20/22,1.2,NA,NA,NA,NA,NA,,NA,0.0037,,12/13/21,12/30/21,1/20/22,0,0,0,LONG,CAAN,110,NA,NA,20,91,91,100,386,-0.5,10.90189401,18427.60337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16395.98614,NA,NA,NA
10,CAAN1,1,14,B08,cohort 7,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,0.6,didn't survive,,NA,not in yet,NA,NA,NA,NA,NA,NA,NA,,NA,0,,2/7/22,2/24/22,3/17/22,0,0,0,LONG,CAAN,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
