"","DATE","Tmax","Tmin","Year","Month","Day","JDay","Hour","Temp"
"1",2021-10-28 00:00:00,21.7,11.1,2021,10,28,301,0,11.1
"7",2021-10-28 01:00:00,21.7,11.1,2021,10,28,301,1,11.1
"13",2021-10-28 02:00:00,21.7,11.1,2021,10,28,301,2,11.1
"19",2021-10-28 03:00:00,21.7,11.1,2021,10,28,301,3,11.1
"25",2021-10-28 04:00:00,21.7,11.1,2021,10,28,301,4,11.1
"31",2021-10-28 05:00:00,21.7,11.1,2021,10,28,301,5,11.1
"37",2021-10-28 06:00:00,21.7,11.1,2021,10,28,301,6,11.1
"43",2021-10-28 07:00:00,21.7,11.1,2021,10,28,301,7,11.9484437842878
"49",2021-10-28 08:00:00,21.7,11.1,2021,10,28,301,8,14.1623665351014
"55",2021-10-28 09:00:00,21.7,11.1,2021,10,28,301,9,16.2379385314298
"61",2021-10-28 10:00:00,21.7,11.1,2021,10,28,301,10,18.0813901515152
"67",2021-10-28 11:00:00,21.7,11.1,2021,10,28,301,11,19.609438444224
"73",2021-10-28 12:00:00,21.7,11.1,2021,10,28,301,12,20.7530496633463
"79",2021-10-28 13:00:00,21.7,11.1,2021,10,28,301,13,21.4605580552273
"85",2021-10-28 14:00:00,21.7,11.1,2021,10,28,301,14,21.7
"91",2021-10-28 15:00:00,21.7,11.1,2021,10,28,301,15,21.4605580552273
"97",2021-10-28 16:00:00,21.7,11.1,2021,10,28,301,16,20.7530496633463
"103",2021-10-28 17:00:00,21.7,11.1,2021,10,28,301,17,19.609438444224
"109",2021-10-28 18:00:00,21.7,11.1,2021,10,28,301,18,17.6362857576229
"115",2021-10-28 19:00:00,21.7,11.1,2021,10,28,301,19,16.210768640357
"121",2021-10-28 20:00:00,21.7,11.1,2021,10,28,301,20,15.2515329771877
"127",2021-10-28 21:00:00,21.7,11.1,2021,10,28,301,21,14.5275977599149
"133",2021-10-28 22:00:00,21.7,11.1,2021,10,28,301,22,13.9459687378416
"139",2021-10-28 23:00:00,21.7,11.1,2021,10,28,301,23,13.4597856163325
"2",2022-01-22 00:00:00,18.9,11.1,2022,1,22,22,0,12.9550376968897
"8",2022-01-22 01:00:00,18.9,11.1,2022,1,22,22,1,12.5629373854905
"14",2022-01-22 02:00:00,18.9,11.1,2022,1,22,22,2,12.2139045489758
"20",2022-01-22 03:00:00,18.9,11.1,2022,1,22,22,3,11.8994076858163
"26",2022-01-22 04:00:00,18.9,11.1,2022,1,22,22,4,11.6132234665291
"32",2022-01-22 05:00:00,18.9,11.1,2022,1,22,22,5,11.3506725537244
"38",2022-01-22 06:00:00,18.9,11.1,2022,1,22,22,6,11.1081476393858
"44",2022-01-22 07:00:00,18.9,11.1,2022,1,22,22,7,10.8828090841397
"50",2022-01-22 08:00:00,18.9,11.1,2022,1,22,22,8,12.7842675463942
"56",2022-01-22 09:00:00,18.9,11.1,2022,1,22,22,9,14.4446892893056
"62",2022-01-22 10:00:00,18.9,11.1,2022,1,22,22,10,15.9357147539498
