"Date.Time","Unit","temp","bench","block","hour","minute","Date"
2021-10-28 12:12:00,"C",26.5,1,13,12,12,2021-10-28
2021-10-28 13:12:00,"C",26.5,1,13,13,12,2021-10-28
2021-10-28 14:12:00,"C",28,1,13,14,12,2021-10-28
2021-10-28 15:12:00,"C",27.5,1,13,15,12,2021-10-28
2021-10-28 16:12:00,"C",27,1,13,16,12,2021-10-28
2021-10-28 17:12:00,"C",23,1,13,17,12,2021-10-28
2021-10-28 18:12:00,"C",19.5,1,13,18,12,2021-10-28
2021-10-28 19:12:00,"C",16.5,1,13,19,12,2021-10-28
2021-10-28 20:12:00,"C",15.5,1,13,20,12,2021-10-28
2021-10-28 21:12:00,"C",14.5,1,13,21,12,2021-10-28
2021-10-28 22:12:00,"C",13.5,1,13,22,12,2021-10-28
2021-10-28 23:12:00,"C",13,1,13,23,12,2021-10-28
2021-10-29 00:12:00,"C",12.5,1,13,0,12,2021-10-29
2021-10-29 01:12:00,"C",12,1,13,1,12,2021-10-29
2021-10-29 02:12:00,"C",11.5,1,13,2,12,2021-10-29
2021-10-29 03:12:00,"C",11.5,1,13,3,12,2021-10-29
2021-10-29 04:12:00,"C",11.5,1,13,4,12,2021-10-29
2021-10-29 05:12:00,"C",11.5,1,13,5,12,2021-10-29
2021-10-29 06:12:00,"C",11,1,13,6,12,2021-10-29
2021-10-29 07:12:00,"C",11,1,13,7,12,2021-10-29
2021-10-29 08:12:00,"C",12,1,13,8,12,2021-10-29
2021-10-29 09:12:00,"C",14,1,13,9,12,2021-10-29
2021-10-29 10:12:00,"C",16.5,1,13,10,12,2021-10-29
2021-10-29 11:12:00,"C",20,1,13,11,12,2021-10-29
2021-10-29 12:12:00,"C",23,1,13,12,12,2021-10-29
2021-10-29 13:12:00,"C",26,1,13,13,12,2021-10-29
2021-10-29 14:12:00,"C",27.5,1,13,14,12,2021-10-29
2021-10-29 15:12:00,"C",29.5,1,13,15,12,2021-10-29
2021-10-29 16:12:00,"C",28,1,13,16,12,2021-10-29
2021-10-29 17:12:00,"C",25.5,1,13,17,12,2021-10-29
2021-10-29 18:12:00,"C",21,1,13,18,12,2021-10-29
