Month,Day,Max.2m,Min.2m,Max.15m,Min.15m
October,1,90,49,88,53
October,2,92,53,91,56
October,3,95,53,92,57
October,4,93,52,89,56
October,5,93,52,90,59
October,6,87,57,83,57
October,7,79,54,76,55
October,8,75,52,72,52
October,9,72,44,68,45
October,10,77,45,75,48
October,11,83,57,80,54
October,12,70,44,68,51
October,13,72,34,70,46
October,14,75,48,73,51
October,15,79,42,76,46
October,16,83,43,81,49
October,17,86,49,86,52
October,18,75,42,72,44
October,19,68,38,65,40
October,20,70,50,66,49
October,21,66,51,66,55
October,22,72,58,70,58
October,23,69,50,66,53
October,24,66,39,64,55
October,25,61,56,67,56
October,26,66,50,64,51
October,27,67,53,64,54
October,28,71,52,69,54
October,29,75,51,73,51
October,30,75,54,73,53
October,31,71,48,68,50
November,1,69,55,66,54
November,2,62,56,61,56
November,3,71,50,68,52
November,4,74,58,73,56
November,5,72,45,71,47
November,6,66,49,66,48
November,7,65,43,63,46
November,8,64,40,62,42
November,9,63,53,61,47
November,10,61,50,60,51
November,11,65,51,69,52
November,12,72,46,70,47
November,13,62,50,62,50
November,14,66,51,66,50
November,15,57,51,55,51
November,16,58,52,56,52
November,17,67,42,66,44
November,18,64,43,63,44
November,19,58,45,57,45
November,20,63,46,60,50
November,21,68,40,67,43
November,22,67,36,66,38
November,23,66,40,66,43
November,24,64,42,63,43
November,25,66,34,65,37
November,26,65,38,64,37
November,27,68,40,67,43
November,28,70,41,69,44
November,29,68,42,67,43
November,30,69,42,68,42
December,1,67,42,65,43
December,2,71,40,70,42
December,3,72,39,73,40
December,4,67,40,67,41
December,5,53,47,51,48
December,6,56,40,54,42
December,7,50,46,49,46
December,8,61,44,59,45
December,9,52,47,52,48
December,10,59,37,58,40
December,11,NA,NA,NA,NA
December,12,NA,NA,NA,NA
December,13,51,44,53,45
December,14,52,42,54,45
December,15,54,36,53,39
December,16,52,41,51,42
December,17,52,32,51,38
December,18,54,33,52,34
December,19,44,38,43,38
December,20,46,41,45,41
December,21,47,34,46,36
December,22,47,37,45,37
December,23,52,43,56,44
December,24,59,48,58,50
December,25,58,47,56,46
December,26,52,40,50,41
December,27,48,44,48,42
December,28,53,35,51,39
December,29,48,39,46,39
December,30,43,39,43,39
December,31,56,34,57,37
January,1,57,34,52,38
January,2,52,30,50,32
January,3,55,34,53,35
January,4,53,38,53,38
January,5,59,44,58,46
January,6,64,45,62,45
January,7,56,46,54,46
January,8,57,39,56,43
January,9,59,35,57,38
January,10,59,39,57,39
January,11,63,37,61,41
January,12,61,38,61,42
January,13,63,39,62,42
January,14,63,37,62,42
January,15,67,36,67,40
January,16,57,39,54,39
January,17,61,37,58,40
January,18,63,37,62,40
January,19,63,36,62,39
January,20,64,36,63,40
January,21,66,40,64,39
January,22,66,52,65,53
January,23,70,35,69,36
January,24,67,33,68,34
January,25,63,34,63,37
January,26,69,35,68,39
January,27,63,33,62,39
January,28,64,34,63,40
January,29,64,33,64,37
January,30,67,34,68,36
January,31,62,36,60,38
February,1,64,42,63,44
February,2,60,46,59,47
February,3,61,33,59,41
February,4,62,33,60,36
February,5,66,36,67,39
February,6,67,32,64,36
February,7,70,36,69,39
February,8,71,35,70,40
February,9,71,37,70,42
February,10,77,44,78,49
February,11,74,43,73,47
February,12,76,42,75,46
February,13,77,43,77,47
February,14,77,42,78,44
February,15,68,38,66,43
February,16,63,47,61,49
February,17,73,42,71,47
February,18,69,38,68,41
February,19,70,39,70,41
February,20,74,38,74,40
February,21,66,41,64,44
February,22,61,33,60,38
February,23,57,35,54,36
February,24,57,28,55,32
February,25,60,33,59,35
February,26,62,31,61,32
February,27,63,40,60,40
February,28,73,38,73,43
March,1,76,43,76,45
March,2,78,43,77,45
March,3,79,47,73,48
March,4,61,48,58,50
March,5,68,34,65,36
March,6,59,32,56,36
March,7,66,39,63,44
March,8,70,43,68,46
March,9,76,41,74,46
March,10,73,41,71,47
March,11,68,40,66,40
March,12,74,37,74,40
March,13,74,47,70,46
March,14,69,41,67,44
March,15,73,50,71,50
March,16,73,46,71,48
March,17,75,45,72,47
March,18,74,39,72,41
March,19,75,43,72,44
March,20,64,46,63,47
March,21,72,41,71,45
March,22,83,51,81,54
March,23,87,51,85,51
March,24,83,46,81,47
March,25,84,43,82,44
March,26,79,42,76,43
March,27,84,42,79,46
March,28,70,53,66,53
March,29,60,42,58,45
March,30,73,36,70,49
March,31,63,45,61,47
April,1,75,43,73,43
April,2,80,46,79,47
April,3,82,45,79,50
April,4,84,46,82,47
April,5,76,48,74,50
April,6,76,50,73,51
April,7,88,47,86,50
April,8,90,50,89,51
April,9,90,50,88,58
April,10,78,59,75,56
April,11,78,46,74,49
April,12,66,35,62,39
April,13,66,39,62,40
April,14,65,43,61,43
April,15,63,46,60,45
April,16,71,52,69,47
April,17,70,40,67,42
April,18,74,41,71,42
April,19,72,52,69,50
April,20,70,44,67,45
April,21,72,52,68,51
April,22,68,43,65,44
April,23,70,45,52,50
April,24,79,49,76,50
April,25,83,48,80,49
April,26,82,53,80,53
April,27,80,44,77,45
April,28,77,45,74,45
April,29,74,48,72,49
April,30,82,47,79,48
May,1,83,47,79,47
May,2,83,50,81,51
