Bench,Block,Pop,Position,Cohort,First Bud Date,Height (cm) @ First Bud ,First Flower Date,Height (cm) @ First Flower,First Fruit Date,Height (cm) @ First Fruit,Death Date,Notes
3,13,CAIN3,G03,cohort 1,,,,,12/3/21,,12/3/21,redpick present but death not recorded 3/30
1,2,STIN,F04,cohort 1,12/20/21,,1/10/22,,1/31/22,7.2,5/11/22,
2,9,CAAN1,G09,cohort 1,12/31/21,,1/10/22,,1/31/22,,,
2,4,STIN,B06,cohort 1,12/3/21,,1/14/22,,1/31/22,,,
2,6,CAAN2,A05,cohort 1,12/20/21,,1/10/22,,2/3/22,,4/25/22,
2,4,STIN,C11,cohort 1,12/27/21,,1/10/22,,2/3/22,,4/25/22,
3,2,CAAN2,B04,cohort 1,12/31/21,,1/18/22,,2/7/22,15.5,,height recorded 3/30
1,2,STIN,B06,cohort 1,1/3/22,,1/21/22,,2/7/22,7.9,4/18/22,
2,9,CAAN1,E09,cohort 1,1/10/22,,1/21/22,,2/7/22,,5/23/22,
3,12,CAIN4,D12,cohort 1,1/14/22,,1/31/22,,2/7/22,13.4,,height recorded 3/30
2,9,CAAN1,A01,cohort 1,1/10/22,,1/24/22,,2/9/22,,4/18/22,
1,2,STIN,D10,cohort 1,1/24/22,,1/24/22,,2/11/22,5.6,4/15/22,dead
3,5,CAAN1,E05,cohort 1,1/18/22,,1/28/22,,2/11/22,,4/27/22,
2,1,CACO1,B06,cohort 1,1/18/22,,1/31/22,,2/11/22,14.5,,
4,8,STIN,E07,cohort 1,12/20/21,,1/7/22,,2/14/22,7.4,4/27/22,height recorded 4/6
4,5,CAAM,A07,cohort 1,1/10/22,,1/24/22,,2/14/22,20.6,,height recorded 4/4
4,6,CAIN3,D06,cohort 1,1/10/22,,1/27/22,,2/14/22,24.4,4/27/22,height recorded 4/4
4,10,CAAN2,B08,cohort 1,1/18/22,,1/28/22,,2/14/22,11.1,4/27/22,height recorded 4/4
2,8,CAAM,C07,cohort 1,1/18/22,,1/31/22,,2/14/22,,3/4/22,
1,11,CAIN3,D08,cohort 1,1/24/22,,2/9/22,,2/14/22,15.3,4/15/22,
3,2,CAAN2,G09,cohort 1,1/10/22,,1/24/22,,2/16/22,12.8,,height recorded 3/30
3,9,CAAM,D02,cohort 1,1/14/22,,1/24/22,,2/16/22,14.6,4/13/22,height recorded 3/30
2,14,CAIN4,C05,cohort 1,1/24/22,,2/7/22,,2/16/22,,4/25/22,
4,9,CAAN1,A11,cohort 1,1/24/22,,2/9/22,,2/16/22,15.9,4/13/22,height recorded 4/4
3,5,CAAN1,D10,cohort 3,1/27/22,,2/9/22,,2/16/22,,,
2,1,CACO1,B02,cohort 1,1/18/22,,2/9/22,,2/18/22,12,4/15/22,
4,8,STIN,F04,cohort 1,12/20/21,,1/21/22,,2/21/22,9.4,,height recorded 4/6
1,1,CAAN2,A07,cohort 3,2/7/22,,2/11/22,,2/21/22,5.1,5/11/22,
1,12,CAAM,B12,cohort 1,1/27/22,,2/11/22,,2/21/22,9,5/23/22,
1,1,CAAN2,C05,cohort 1,1/27/22,,2/11/22,,2/21/22,9.2,5/23/22,
1,11,CAIN3,B10,cohort 2,1/27/22,,2/11/22,,2/21/22,12.4,5/23/22,
2,6,CAAN2,E07,cohort 1,1/24/22,,2/11/22,,2/21/22,,,
3,5,CAAN1,G03,cohort 1,1/27/22,,2/14/22,,2/21/22,,,
