"For each pollination day, write the date at the top and an Y (yes) or N (no) for if the individual was pollinated or not.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench,Block,Pop,Cohort,Position,Date: 2/11,Date: 2/14,Date: 2/16,Date: 2/18,Date: 2/21,Date: 2/23,Date: 2/25,Date: 2/28,Date: 3/2,Date: 3/4,Date: 3/7,Date: 3/9,Date: 3/11,Date: 3/14,Date: 3/16,Date: 3/18,Date: 3/21,Date: 3/23,Date: 3/25,Date: 3/28,Date: 3/30,Date: 4/1,Date: 4/4,Date: 4/6,Date: 4/9,Date: 4/11,Date: 4/13,Date: 4/15,Date: 4/18,Date: 4/20,Date: 4/22,Date: 4/25,Date: 4/27,Date: 4/29
1,1,CAAN2,cohort 1,B02,,,,,,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 1,B04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 1,B10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 1,C05,Y,Y,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 1,C07,,,,,,,,,,,,,,,,,Y,Y,N,,,,,Y,N,,,,,,,,,
1,1,CAAN2,cohort 1,E07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 2,A09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 2,B06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 2,C03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 2,D04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 2,D12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 2,G05,,,,,,,Y,Y,Y,,,,,,,,,,,,Y,Y,N,,,,,,,,,,,
1,1,CAAN2,cohort 3,A07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 3,A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 3,B08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 3,E05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 3,E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 3,G03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 4,A03,,,,,,,,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 4,C09,N,N,N,N,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 4,C11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CAAN2,cohort 4,D10,,,,,,,,,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,
