"For each pollination day, write the date at the top and an Y (yes) or N (no) for if the individual was pollinated or not.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench,Block,Pop,Cohort,Position,Date: 2/11,Date: 2/14,Date:2/16,Date:2/18,Date:2/21,Date:2/23,Date:2/25,Date:2/28,Date:3/2,Date:3/4,Date:3/7,Date:3/9,Date:3/11,Date:3/14,Date:3/16,Date:3/18,Date:3/21,Date:3/23,Date:3/25,Date:3/28,Date:3/30,Date:4/1,Date:4/4,Date:4/6,Date:4/8,Date:4/11,Date:4/13,Date:4/15,Date:4/18,Date:4/20,Date:4/22,Date:4/25,Date:4/27,Date:4/29,5/16/22
1,11,CAIN3,cohort 1,C03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 1,C09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 1,D08,Y,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 1,D14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 1,F04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 1,F12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 2,A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 2,B10,,Y,Y,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 2,B14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 2,C11,,,,,,,,,,,,,,,,,,Y,Y,Y,N,,,,,,,,,,,,,,
1,11,CAIN3,cohort 2,E05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 2,E09,,,,,,,,,,,,,,,,,,Y,Y,N,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 3,B12,,,,,,,,,Y,Y,Y,Y,Y,N,,,,,,,Y,Y,N,,,,,,,Y,N,,,,
1,11,CAIN3,cohort 3,C07,,,,,,,,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 3,D02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 3,F14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 3,G03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 3,G11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 4,A03,,,,,,,,,,,,,,,Y,Y,Y,N,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 4,B06,,,,,,,,,,,,,,,,,,,Y,N,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 4,D04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 4,D12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 4,E07,,,,,,,,,,,,,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 4,E11,,,,,,,,,,,,,,,,,,Y,Y,N,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 5,A05,,,,,,,,,,,,,,,,,,,,,,Y,N,,,,,,,,Y,Y,,,Y
1,11,CAIN3,cohort 5,C01,,,,,,,,,,,,,,,,,,Y,Y,Y,N,,,,,,,,,Y,N,,,,
1,11,CAIN3,cohort 5,E03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 5,E13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,,,,,
1,11,CAIN3,cohort 5,F02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 5,G01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 6,A07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 6,A13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,
1,11,CAIN3,cohort 6,B02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 6,C05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 6,F08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 6,G05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 7,D06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 7,D10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 7,E01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 7,G07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 7,G09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 7,G13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 8,A01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 8,A09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 8,B04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 8,B08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 8,C13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,CAIN3,cohort 8,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
