"For each pollination daY, write the date at the top and an Y (Yes) or N (no) for if the individual was pollinated or not.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench,Block,Pop,Cohort,Position,Date:3/21,Date:3/23,Date:3/25,Date:3/28,Date:3/30,Date:4/1,Date: 4/4,Date:4/6,Date:4/8,Date:4/11,Date:4/13,Date:4/15,Date:4/18,Date:4/20,Date:4/22,Date:4/25,Date:4/27,Date:4/29,Date: 5/2,Date: 5/4,Date: 5/6,Date: 5/9,Date: 5/11,Date: 5/13,Date: 5/16,Date: 5/18,Date: 5/20,Date: 5/23,Date: 5/25,Date: 5/27,Date: 5/31,Date: 6/3,Date: 6/6,Date: 6/8,Date: 6/10,Date: 6/13,Date: 6/15,Date: 6/17
1,9,STDI,cohort 1,A13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 1,B04,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,N,N,Y,Y,Y,Y,Y,Y,N,,Y,,,,,,,,,
1,9,STDI,cohort 1,D02,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
1,9,STDI,cohort 1,D04,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,Y,Y,Y,Y,N,,,,,,,,,,,,,,,
1,9,STDI,cohort 1,E09,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,N,N,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 1,G05,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 2,C03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 2,E03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 2,E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 2,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 2,G01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 2,G09,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 3,B02,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,N,N,,,,,,,,,,,,,,,,
1,9,STDI,cohort 3,C01,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 3,C05,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,
1,9,STDI,cohort 3,D14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 3,F12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 3,G07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 4,A01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 4,A05,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,
1,9,STDI,cohort 4,A11,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,,,,,,,,,,,,,,,,
1,9,STDI,cohort 4,B10,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,
1,9,STDI,cohort 4,D10,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,
1,9,STDI,cohort 4,E13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 5,A07,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,N,,,,,,Y,Y,Y,N,Y,Y,Y
1,9,STDI,cohort 5,B06,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,Y,Y,Y,Y,Y,Y,Y,N,
1,9,STDI,cohort 5,E07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 5,F06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 5,F08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 5,G03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 6,A09,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,N,,,,,,Y,N,
1,9,STDI,cohort 6,B12,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,,,,,Y,Y,Y,N,
1,9,STDI,cohort 6,C07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 6,C09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 6,C11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 6,F04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 7,B08,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y
1,9,STDI,cohort 7,C13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 7,E01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 7,E05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 7,G11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 7,G13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 8,B14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,N,
1,9,STDI,cohort 8,D06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,STDI,cohort 8,D08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
