"For each pollination day, write the date at the top and an Y (yes) or N (no) for if the individual was pollinated or not.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench,Block,Pop,Cohort,Position,Date: 2/11,Date: 2/14,Date:2/16,Date:2/18,Date:2/21,Date:2/23,Date:2/25,Date:2/28,Date:3/2,Date:3/4,Date:3/7,Date:3/9,Date:3/11,Date:3/14,Date:3/16,Date:3/18,Date:3/21,Date:3/23,Date:3/25,Date:3/28,Date:3/30,Date:4/1,Date:4/4,Date:4/6,Date:4/8,Date:4/11,Date:4/13,Date:4/15,Date:4/18,Date:4/20,Date:4/22,Date:4/25,Date:4/27,Date:4/29,Date:5/2,Date:5/4,Date:5/6,Date:5/9,Date:5/11,Date:5/13,Date:5/16,Date:5/18,Date:5/20,Date:5/23,Date:5/25,Date:5/27,Date:5/31,Date:6/3,Date:6/6,Date:6/8,Date:6/10,Date:6/13,Date:6/15,Date:6/17
1,2,STIN,cohort 1,A09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 1,B06,Y,Y,Y,Y,Y,Y,Y,N,N,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 1,B14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 1,D10,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,N,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 1,D14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 1,F04,Y,Y,Y,Y,Y,N,N,N,,,,,N,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 2,D02,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 2,D08,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 2,F10,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 2,F14,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,
1,2,STIN,cohort 2,G03,,,,,,,,,,,Y,Y,Y,Y,Y,Y,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 2,G07,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 3,C03,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 3,C13,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 3,E05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 3,E11,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 3,F06,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 3,F12,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 4,A01,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 4,B08,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 4,B12,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 4,C05,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 4,C07,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 4,G13,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 5,A13,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 5,B04,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,,,,,,,,,,,,,,,
1,2,STIN,cohort 5,B10,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 5,E07,,,,,,,,,,,,,,,,,,,,N,,Y,,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 5,G05,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 5,G11,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 6,A05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,
1,2,STIN,cohort 6,C01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 6,C11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 6,D06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 6,E01,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 6,F08,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 7,A03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,,,,,,,,,
1,2,STIN,cohort 7,A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,N,,,,,,,,,,
1,2,STIN,cohort 7,B02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,,,,,,,,,,
1,2,STIN,cohort 7,D04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,N,,,,,,,,,,,,,,,,
1,2,STIN,cohort 7,F02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,
1,2,STIN,cohort 7,G09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,N,,,,,,
1,2,STIN,cohort 8,A07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 8,C09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,
1,2,STIN,cohort 8,E03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,
1,2,STIN,cohort 8,E09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,STIN,cohort 8,E13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,N,,,,
1,2,STIN,cohort 8,G01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,Y,N,,
2,4,STIN,cohort 1,A07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,STIN,cohort 1,B06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,STIN,cohort 1,C01,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,STIN,cohort 1,C11,Y,Y,Y,N,N,N,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,STIN,cohort 1,E07,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,STIN,cohort 1,F06,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,STIN,cohort 2,C13,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,STIN,cohort 2,D04,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,STIN,cohort 2,F02,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
