Bench,Block,Pop,Position,Cohort,Census Date,Flower/Bud Count,Mature Fruit Count,Pedicel Count,STTO-BH Height (cm),Notes (AC = Already Collected Plant)
3,9,CAAM,C05,cohort 1,6/1/22,0,0,0,,AC
3,9,CAAM,D02,cohort 1,6/1/22,0,0,0,,AC
3,9,CAAM,D12,cohort 2,6/1/22,0,0,0,,AC
3,12,CAIN4,C09,cohort 2,6/1/22,0,0,0,,AC
1,8,STBR3,F10,cohort 1,6/1/22,0,0,0,,AC
1,8,STBR3,F12,cohort 1,6/1/22,0,0,0,,AC
1,8,STBR3,E13,cohort 2,6/1/22,0,0,0,,AC
1,8,STBR3,G01,cohort 2,6/1/22,0,0,0,,AC
1,8,STBR3,F06,cohort 3,6/1/22,0,0,0,,AC
1,8,STBR3,B12,cohort 4,6/1/22,0,0,0,,AC
1,8,STBR3,B14,cohort 4,6/1/22,0,0,0,,AC
1,8,STBR3,A05,cohort 5,6/1/22,0,0,0,,AC
1,8,STBR3,B04,cohort 6,6/1/22,0,0,0,,AC
1,8,STBR3,C01,cohort 6,6/1/22,0,0,0,,AC
1,8,STBR3,C11,cohort 6,6/1/22,0,0,0,,AC
1,9,STDI,A13,cohort 1,6/1/22,0,0,0,,AC
1,9,STDI,E03,cohort 2,6/1/22,0,0,0,,AC
1,9,STDI,E11,cohort 2,6/1/22,0,0,0,,AC
1,9,STDI,F10,cohort 2,6/1/22,0,0,0,,AC
1,4,STGL1,D12,cohort 3,6/1/22,0,0,0,,DEAD
4,12,CAIN4,A11,cohort 2,6/1/22,0,0,0,,DEAD/VEG
4,12,CAIN4,F14,cohort 6,6/1/22,0,0,0,,DEAD/VEG
4,12,CAIN4,G03,cohort 6,6/1/22,0,0,0,,DEAD/VEG
4,12,CAIN4,B14,cohort 8,6/1/22,0,0,0,,DEAD/VEG
1,11,CAIN3,B08,cohort 8,6/1/22,0,0,0,,NO PLANT
1,8,STBR3,A03,cohort 4,6/1/22,0,0,0,,NO PLANT
1,8,STBR3,A01,cohort 7,6/1/22,0,0,0,,NO PLANT
1,8,STBR3,F02,cohort 7,6/1/22,0,0,0,,NO PLANT
1,8,STBR3,F14,cohort 7,6/1/22,0,0,0,,NO PLANT
1,8,STBR3,G13,cohort 7,6/1/22,0,0,0,,NO PLANT
1,9,STDI,C03,cohort 2,6/1/22,0,0,0,,NO PLANT
1,9,STDI,G01,cohort 2,6/1/22,0,0,0,,NO PLANT
