Pop,Cohort,Bench,Position,Envelope 1 Biomass (g),Envelope 2 Biomass (g),Envelope 3 Biomass (g),Below Ground Biomass (g) STTO-BH,Notes 
CAAN2,blank,1,G11,,,,,
CAAM,cohort 1,1,A03,,,,,
CAAM,cohort 1,1,A05,0.0407,,,,
CAAM,cohort 1,1,B12,0.0058,,,,
CAAM,cohort 1,1,E01,0.034,,,, 
CAAM,cohort 1,1,F04,0.0633,,,,
CAAM,cohort 1,1,F06,0.0468,,,,
CAAM,cohort 2,1,B02,0.0261,,,,
CAAM,cohort 2,1,D04,0.0451,,,,
CAAM,cohort 2,1,F08,0.0171,,,,
CAAM,cohort 2,1,F14,0.0183,0.0023,,,
CAAM,cohort 2,1,G03,0.0159,,,,
CAAM,cohort 2,1,G07,0.0226,,,,
CAAM,cohort 3,1,A11,0.0128,,,,
CAAM,cohort 3,1,B08,0.013,,,,
CAAM,cohort 3,1,C11,0.0064,,,,
CAAM,cohort 3,1,D06,0.0126,,,,
CAAM,cohort 3,1,D08,,,,,NO PLANT
CAAM,cohort 3,1,D10,,,,,NO PLANT
CAAM,cohort 4,1,A13,,,,,NO PLANT
CAAM,cohort 4,1,B04,,,,,NO PLANT
CAAM,cohort 4,1,C13,,,,,NO PLANT
CAAM,cohort 4,1,E07,0.0104,,,,
CAAM,cohort 4,1,E11,0.0114,,,,
CAAM,cohort 4,1,G11,0.0047,,,,
CAAM,cohort 5,1,A07,0.0279,,,,
CAAM,cohort 5,1,A09,0.0259,,,,
CAAM,cohort 5,1,C05,0.017,,,,
CAAM,cohort 5,1,C07,0.0164,,,,
CAAM,cohort 5,1,E09,0.0395,,,,
CAAM,cohort 5,1,G09,0.0246,,,,
CAAM,cohort 6,1,A01,0.0088,,,,
CAAM,cohort 6,1,B10,0.0247,,,,
CAAM,cohort 6,1,B14,0.0106,,,,
CAAM,cohort 6,1,D02,,,,,NO PLANT
CAAM,cohort 6,1,E05,,,,,NO PLANT
CAAM,cohort 6,1,G05,,,,,NO PLANT
CAAM,cohort 7,1,B06,0.0026,,,,
CAAM,cohort 7,1,C03,,,,,
CAAM,cohort 7,1,C09,,,,,
CAAM,cohort 7,1,E03,,,,,NO PLANT
CAAM,cohort 7,1,E13,,,,,NO PLANT
CAAM,cohort 7,1,G01,,,,,NO PLANT
CAAM,cohort 8,1,C01,0.0051,,,,
CAAM,cohort 8,1,D14,,,,,NO PLANT
CAAM,cohort 8,1,F02,,,,,NO PLANT
CAAM,cohort 8,1,F10,,,,,NO PLANT
CAAM,cohort 8,1,F12,,,,,NO PLANT
CAAM,cohort 8,1,G13,,,,,NO PLANT
STIN,blank,1,D12,,,,,
CAAM,cohort 1,2,A03,0.0286,,,,
CAAM,cohort 1,2,A07,0.037,,,,
CAAM,cohort 1,2,B02,0.039,,,, 
CAAM,cohort 1,2,C07,0.0774,,,,
CAAM,cohort 1,2,C11,0.0359,,,,
CAAM,cohort 1,2,D08,0.034,,,,
CAAM,cohort 2,2,A13,0.0076,,,,
CAAM,cohort 2,2,B04,0.017,,,,
CAAM,cohort 2,2,C03,0.0416,,,,
CAAM,cohort 2,2,D14,0.0129,,,,
CAAM,cohort 2,2,F10,,,,,
CAAM,cohort 2,2,G07,0.0112,,,,
CAAM,cohort 3,2,A01,0.0011,,,,
CAAM,cohort 3,2,A05,0.0073,,,,
CAAM,cohort 3,2,B10,0.0069,,,,
CAAM,cohort 3,2,D04,0.0081,,,,
CAAM,cohort 3,2,G01,,,,,NO PLANT
CAAM,cohort 3,2,G09,,,,,NO PLANT
CAAM,cohort 4,2,B06,0.0075,,,,
CAAM,cohort 4,2,C01,0.0135,,,,
CAAM,cohort 4,2,D06,0.0105,,,,
CAAM,cohort 4,2,E05,0.02,,,,
CAAM,cohort 4,2,E09,,,,,NO PLANT
CAAM,cohort 4,2,G13,,,,,NO PLANT
CAAM,cohort 5,2,C09,0.036,,,,
CAAM,cohort 5,2,D02,0.0367,,,,
CAAM,cohort 5,2,D10,0.0306,,,,
CAAM,cohort 5,2,F12,0.0178,,,,
CAAM,cohort 5,2,G03,0.0101,,,,
CAAM,cohort 5,2,G05,0.0138,,,,
CAAM,cohort 6,2,A11,0.133,,,,
CAAM,cohort 6,2,B14,0.015,,,,
CAAM,cohort 6,2,E03,0.0074,,,,
CAAM,cohort 6,2,E11,,,,,NO PLANT
CAAM,cohort 6,2,F04,0.0235,,,,
CAAM,cohort 6,2,G11,,,,,NO PLANT
CAAM,cohort 7,2,A09,0.0042,,,,
CAAM,cohort 7,2,B08,0.0045,,,,
CAAM,cohort 7,2,C13,,,,,NO PLANT
CAAM,cohort 7,2,E13,,,,,NO PLANT
CAAM,cohort 7,2,F06,,,,,NO PLANT
CAAM,cohort 7,2,F08,,,,,NO PLANT
CAAM,cohort 8,2,B12,0.0043,,,,
CAAM,cohort 8,2,C05,,,,,NO PLANT
CAAM,cohort 8,2,D12,,,,,NO PLANT
CAAM,cohort 8,2,E01,,,,,NO PLANT
CAAM,cohort 8,2,F02,,,,,NO PLANT
CAAM,cohort 8,2,F14,,,,,NO PLANT
STPO,blank,1,B06,,,,,
CAAM,cohort 1,3,A01,0.0168,,,,
CAAM,cohort 1,3,A05,0.0263,,,,
CAAM,cohort 1,3,C05,0.0188,,,,
CAAM,cohort 1,3,D02,0.0663,,,,
CAAM,cohort 1,3,F10,,,,,NO PLANT
CAAM,cohort 1,3,G01,0.0549,,,,
CAAM,cohort 2,3,D10,0.0511,,,,
CAAM,cohort 2,3,D12,0.024,,,,
CAAM,cohort 2,3,D14,0.0118,,,,
CAAM,cohort 2,3,E11,0.0223,,,,
CAAM,cohort 2,3,F04,0.0308,,,,
CAAM,cohort 2,3,F14,0.0305,,,,
CAAM,cohort 3,3,A11,0.0081,,,,
CAAM,cohort 3,3,B04,0.0126,,,,
CAAM,cohort 3,3,B08,0.0095,,,,
CAAM,cohort 3,3,C01,0.0054,,,,
CAAM,cohort 3,3,D06,,,,,NO PLANT
CAAM,cohort 3,3,G09,,,,,NO PLANT
CAAM,cohort 4,3,A03,0.0129,,,,
CAAM,cohort 4,3,A13,,,,,NO PLANT
CAAM,cohort 4,3,B06,0.0212,,,,
CAAM,cohort 4,3,B14,0.0202,,,,
CAAM,cohort 4,3,C09,0.0204,,,,
CAAM,cohort 4,3,G03,,,,,NO PLANT
CAAM,cohort 5,3,B02,0.012,,,,
CAAM,cohort 5,3,C07,0.0272,,,,
CAAM,cohort 5,3,E03,0.0101,,,,
CAAM,cohort 5,3,E09,0.042,,,,
CAAM,cohort 5,3,E13,0.0344,,,,
CAAM,cohort 5,3,F06,0.0272,,,,
CAAM,cohort 6,3,C03,0.0168,,,,
