Pop,Cohort,Bench,Position,Envelope 1 Fruits,Envelope 1 Seed Count,Envelope 1 Seed Weight (g),Envelope 1 date,Envelope 2 Fruits,Envelope 2 Seed Count,Envelope 2 Seed Weight (g),Envelope 2 date,Envelope 3 Fruits,Envelope 3 Seed Count,Envelope 3 Seed Weight (g),Envelope 3 date,Envelope 4 Fruits,Envelope 4 Seed Count,Envelope 4 Seed Weight (g),Envelope 4 date
CAAM,cohort 1,1,A03,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 1,1,A05,1,1,0.0026,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 1,1,B12,1,2,0.0031,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 1,1,E01,1,1,0.0019,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 1,1,F04,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 1,1,F06,1,1,0.0032,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 2,1,B02,1,1,0.0021,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 2,1,D04,1,2,0.0028,NA,2,0,0,NA,,,,NA,,,,NA
CAAM,cohort 2,1,F08,1,0,0,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 2,1,F14,1,1,0.0018,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 2,1,G03,1,0,0,NA,1,1,0.0018,NA,,,,NA,,,,NA
CAAM,cohort 2,1,G07,1,2,0.0023,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 3,1,A11,1,0,0,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 3,1,B08,1,0,0,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 3,1,C11,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 3,1,D06,1,0,0,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 3,1,D08,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 3,1,D10,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 4,1,A13,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 4,1,B04,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 4,1,C13,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 4,1,E07,1,1,0.0016,NA,1,0,0,NA,,,,NA,,,,NA
CAAM,cohort 4,1,E11,1,0,0,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 4,1,G11,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 5,1,A07,1,5,0.0075,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 5,1,A09,1,0,0,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 5,1,C05,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 5,1,C07,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 5,1,E09,1,14,0.0124,NA,1,0,0,NA,,,,NA,,,,NA
CAAM,cohort 5,1,G09,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 6,1,A01,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 6,1,B10,1,1,0.009,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 6,1,B14,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 6,1,D02,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 6,1,E05,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 6,1,G05,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 7,1,B06,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 7,1,C03,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 7,1,C09,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 7,1,E03,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 7,1,E13,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 7,1,G01,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 8,1,C01,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 8,1,D14,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 8,1,F02,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 8,1,F10,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 8,1,F12,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 8,1,G13,1,0,0,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 1,2,A03,1,2,0.0031,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 1,2,A07,1,5,0.0081,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 1,2,B02,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 1,2,C07,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 1,2,C11,1,2,0.0026,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 1,2,D08,1,7,0.0098,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 2,2,A13,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 2,2,B04,1,2,0.0029,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 2,2,C03,1,8,0.007,NA,1,0,0,NA,,,,NA,,,,NA
CAAM,cohort 2,2,D14,1,1,0.0014,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 2,2,F10,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 2,2,G07,1,2,0.0031,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 3,2,A01,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 3,2,A05,1,0,0,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 3,2,B10,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 3,2,D04,1,1,0.0005,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 3,2,G01,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 3,2,G09,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 4,2,B06,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 4,2,C01,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 4,2,D06,1,1,0.0011,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 4,2,E05,1,1,0.0014,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 4,2,E09,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 4,2,G13,2,0,0,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 5,2,C09,1,0,0,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 5,2,D02,2,4,0.0056,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 5,2,D10,1,3,0.0041,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 5,2,F12,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 5,2,G03,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 5,2,G05,1,2,0.0016,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 6,2,A11,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 6,2,B14,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 6,2,E03,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 6,2,E11,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 6,2,F04,1,1,0.0001,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 6,2,G11,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 7,2,A09,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 7,2,B08,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 7,2,C13,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 7,2,E13,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 7,2,F06,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 7,2,F08,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 8,2,B12,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 8,2,C05,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 8,2,D12,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 8,2,E01,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 8,2,F02,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 8,2,F14,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 1,3,A01,1,1,0.0007,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 1,3,A05,1,3,0.005,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 1,3,C05,1,2,0.0028,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 1,3,D02,1,7,0.0087,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 1,3,F10,,,,NA,,,,NA,,,,NA,,,,NA
CAAM,cohort 1,3,G01,1,2,0.0027,NA,,,,NA,,,,NA,,,,NA
