Pop,Bench,Block,Position,Cohort,Census Date,Flower/Bud Count,Mature Fruit Count,Pedicel Count,STTO-BH Height (cm),Notes (AC = Already Collected Plant)
CAAN2,1,1,A01,cohort 6,6/22/22,0,0,2,,Dried Out
CAAN2,1,1,A03,cohort 4,6/22/22,,,,,AC
CAAN2,1,1,A05,cohort 7,6/22/22,,,,,DIED
CAAN2,1,1,A07,cohort 3,6/22/22,,,,,AC
CAAN2,1,1,A09,cohort 2,6/22/22,,,,,NO PLANT
CAAN2,1,1,A11,cohort 3,6/22/22,,,,,AC
CAAN2,1,1,A13,cohort 5,6/22/22,,,,,AC
CAAN2,1,1,B02,cohort 1,6/22/22,,,,,AC
CAAN2,1,1,B04,cohort 1,6/22/22,,,,,AC
CAAN2,1,1,B06,cohort 2,6/22/22,,,,,NO PLANT
CAAN2,1,1,B08,cohort 3,6/22/22,N/A,N/A,N/A,N/A,Died
CAAN2,1,1,B10,cohort 1,6/22/22,N/A,N/A,N/A,N/A,Died
CAAN2,1,1,B12,cohort 5,6/22/22,,,,,AC
CAAN2,1,1,B14,cohort 6,6/22/22,,,,,NO PLANT
CAAN2,1,1,C01,cohort 6,6/22/22,,,,,NO PLANT
CAAN2,1,1,C03,cohort 2,6/22/22,,,,,NO PLANT
CAAN2,1,1,C05,cohort 1,6/22/22,,,,,AC
CAAN2,1,1,C07,cohort 1,6/22/22,,,,,ON SHORT SEASON BENCH-AC
CAAN2,1,1,C09,cohort 4,6/22/22,,,,,AC
CAAN2,1,1,C11,cohort 4,6/22/22,,,,,NO PLANT
CAAN2,1,1,C13,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
CAAN2,1,1,D02,cohort 7,6/22/22,N/A,N/A,N/A,N/A,Plant missing
CAAN2,1,1,D04,cohort 2,6/22/22,,,,,NO PLANT
CAAN2,1,1,D06,cohort 6,6/22/22,,,,,NO PLANT
CAAN2,1,1,D08,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
CAAN2,1,1,D10,cohort 4,6/22/22,0,1,12,,Dried Out
CAAN2,1,1,D12,cohort 2,6/22/22,,,,,NO PLANT
