id,clim_year,clim_month,clim_date,cwd,pck,ppt_mm,tmin,tmax
CAAM,1896,1,189601,0,0,107.3000016,1.609999964,9.719999783
CAAN2,1896,1,189601,0,0,47.70000071,-0.629999986,11.47999974
CAAN1,1896,1,189601,36.40000054,0,6.800000101,1.369999969,13.05999971
CACO2,1896,1,189601,0,0,161.2000024,-0.87999998,7.629999829
CACO3,1896,1,189601,0,0,89.60000134,0.839999981,10.14999977
CACO1,1896,1,189601,0,0,112.5000017,0.749999983,8.559999809
CAIN2,1896,1,189601,29.90000045,0,27.40000041,2.129999952,11.35999975
CAIN3,1896,1,189601,11.40000017,0,37.30000056,0.699999984,11.94999973
CAIN4,1896,1,189601,16.00000024,0,35.20000052,3.079999931,11.18999975
STBR3,1896,1,189601,0,0,295.9000044,4.139999907,10.29999977
STBR1,1896,1,189601,0,0,266.400004,2.629999941,9.799999781
STBR2,1896,1,189601,0,0,373.0000056,1.639999963,8.789999804
STDI,1896,1,189601,0,0,314.5000047,0.709999984,10.43999977
STDR2,1896,1,189601,0,0,568.0000085,4.119999908,9.38999979
STGL3,1896,1,189601,0,0,373.0000056,1.639999963,8.789999804
STGL2,1896,1,189601,0,0,260.7000039,4.819999892,9.069999797
STGL1,1896,1,189601,0,0,633.0000094,2.719999939,8.749999804
STIN,1896,1,189601,0,0,153.9000023,0.569999987,12.08999973
STPO3,1896,1,189601,0,0,366.4000055,2.079999954,9.259999793
STPO2,1896,1,189601,0,138.9000021,573.0000085,-2.269999949,6.659999851
STPO1,1896,1,189601,0,0,751.9000112,1.229999973,8.119999819
STTO-SC,1896,1,189601,0,0,327.0000049,2.169999951,8.999999799
STTO-IH,1896,1,189601,0,0,386.0000058,1.609999964,9.179999795
STTO-BH,1896,1,189601,0,0,241.4000036,2.769999938,9.759999782
STTO-TM2,1896,1,189601,0,0,577.4000086,3.13999993,9.999999776
CAAM,1896,2,189602,17.90000027,0,5.100000076,2.69999994,13.90999969
CAAN2,1896,2,189602,40.80000061,0,2.70000004,0.379999992,13.13999971
