Cohort,Season,End_year,Season_days,Data_days,Perc_complete,Chilling_Hours,Utah_Model,Chill_portions,GDH,PTU,Season.Length
cohort 1,2021/2022,2022,259,259,100,943,-333,49.81188237,51157.30101,50734.07,long
cohort 2,2021/2022,2022,238,238,100,937,-229,48.84909495,45376.06121,47564.94,long
cohort 3,2021/2022,2022,217,217,100,925,-203,47.0492585,40261.80172,44472.18,long
cohort 4,2021/2022,2022,196,196,100,831,-368.5,38.95059624,36750.78977,42014.57,long
cohort 5,2021/2022,2022,175,175,100,593,-730,23.39354428,35247.06545,40708.16,long
cohort 6,2021/2022,2022,147,147,100,339,-1007,7.639417812,31526.25967,37989.99,long
cohort 7,2021/2022,2022,119,119,100,147,-1143,3.363748053,26437.09611,33922.3,long
cohort 8,2021/2022,2022,91,91,100,47,-1111,0.997173509,20481.15867,28723.5,long
cohort 1,2021/2022,2022,238,238,100,943,98,49.81188237,46332.63183,41438.95,short
cohort 2,2021/2022,2022,217,217,100,937,202,48.84909495,40551.39204,38269.83,short
cohort 3,2021/2022,2022,196,196,100,925,228,47.0492585,35437.13254,35177.06,short
cohort 4,2021/2022,2022,175,175,100,831,62.5,38.95059624,31926.12059,32719.46,short
cohort 5,2021/2022,2022,154,154,100,593,-299,23.39354428,30422.39627,31413.05,short
cohort 6,2021/2022,2022,126,126,100,339,-576,7.639417812,26701.59049,28694.88,short
cohort 7,2021/2022,2022,98,98,100,147,-712,3.363748053,21612.42694,24627.18,short
cohort 8,2021/2022,2022,70,70,100,47,-680,0.997173509,15656.48949,19428.39,short
