folder,specimen,day,month,year,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,minimumElevationInMeters,maximumElevationInMeters
s_glandulosus,1335287,27,5,2003,37.513056,-121.8075,100,364,NA
s_glandulosus,1335288,22,5,2003,37.510556,-121.830556,100,184,NA
s_glandulosus,C87093,28,4,1925,37.5652,-121.685,2000,230,300
s_glandulosus,1335291,22,5,2003,37.487385,-121.812064,100,279,NA
s_glandulosus,C87095,NA,5,1903,37.5834,-121.6315,18500,144,1012
s_glandulosus,C87096,NA,5,1903,37.5834,-121.6315,18500,144,1012
s_glandulosus,C87091,19,5,1985,37.514184,-121.554547,2000,975,NA
s_breweri,C61228,19,5,1985,37.514184,-121.554547,2000,975,NA
s_breweri,C61229,12,4,1986,37.514184,-121.554547,2000,945,NA
s_glandulosus,C87092,8,5,1900,37.5892,-121.8899,5000,76,657
s_cordatus,23072621,15,6,1951,38.58653,-119.791072,1000,2100,2235
s_tortuosus,1369150,30,6,1984,38.692902,-119.987564,301,2630,NA
s_tortuosus,1369260,16,8,1971,38.733003,-119.982403,335,2995,NA
s_tortuosus,1401074,25,7,2015,38.488056,-119.803611,5000,2300,2900
s_tortuosus,1307383,14,8,1962,38.70393,-119.96701,2000,2393,2613
s_tortuosus,1369262,16,6,1974,38.671416,-120.030547,300,2541,2667
s_tortuosus,1369261,9,9,1973,38.669325,-119.970658,300,2431,2594
s_cordatus,23072617,27,6,1978,38.62269,-119.717703,500,1767,NA
s_tortuosus,470107,29,7,1955,38.59722,-119.77833,600,2100,2300
s_tortuosus,610354,30,7,1996,38.68333333,-120.0166667,1000,2545,2700
s_tortuosus,470147,9,6,1986,38.54208,-120.382721,500,1700,NA
s_tortuosus,1775054,28,3,1970,39.012853,-120.940731,300,400,580
s_tortuosus,470180,2,7,2012,38.53142,-120.247978,300,1776,1886
s_polygaloides,888771,8,5,2014,38.40667,-120.88722,200,188,NA
s_polygaloides,3151055,1,6,1963,39.793022,-121.45256,200,400,450
s_polygaloides,C87426,2,6,1963,39.776354,-121.450985,500,350,450
s_polygaloides,C87442,28,5,1938,39.761591,-121.478844,2000,580,680
s_polygaloides,3163704,31,5,2000,39.689984,-121.57054,1000,275,350
s_drepanoides,3498742,31,5,2000,39.689984,-121.57054,1000,275,350
s_drepanoides,3413020,31,5,2000,39.689984,-121.57054,1000,275,350
s_polygaloides,3160610,7,6,1952,39.8546,-121.569626,5163,750,825
s_diversifolius,2175840,21,4,1978,39.601577,-121.553707,500,305,390
s_diversifolius,UC1292726,1,8,1951,39.58669,-121.62886,1000,80,NA
s_diversifolius,2175858,21,4,1975,39.590507,-121.551841,500,381,NA
s_polygaloides,2082114,31,5,2000,39.689984,-121.57054,1000,275,350
s_polygaloides,C87437,30,6,1983,39.796772,-121.489055,500,700,800
s_diversifolius,2075759,3,6,1998,39.598844,-121.54136,500,410,NA
s_diversifolius,3194984,3,6,1998,39.598844,-121.54136,500,410,NA
s_diversifolius,3317027,3,6,1998,39.598844,-121.54136,500,410,NA
s_diversifolius,3795790,28,4,1974,39.557992,-121.539761,1000,130,230
s_polygaloides,2055129,30,5,1988,39.715679,-121.472369,200,340,390
s_polygaloides,C87439,30,5,1988,39.715679,-121.472369,200,340,390
s_polygaloides,2058596,21,4,1985,39.841543,-121.413503,500,525,700
s_polygaloides,2045166,15,5,1981,39.792139,-121.38435,500,1200,1275
s_diversifolius,JEPS108762,3,5,2006,39.59889,-121.54417,200,407,NA
s_diversifolius,2121910,3,5,2006,39.59889,-121.54417,200,407,NA
s_insignis,2175868,25,3,1965,NA,NA,NA,792,NA
s_polygaloides,2124875,3,11,2007,39.696388,-121.565472,200,275,NA
s_drepanoides,2082113,31,5,2000,39.696388,-121.565472,1000,275,300
s_polygaloides,1368957,2,6,1982,39.708486,-121.566666,300,300,415
s_tortuosus,1369146,19,6,1984,39.779436,-121.306562,1000,1360,NA
s_tortuosus,1369145,19,6,1984,39.59804,-121.44402,530,305,NA
s_tortuosus,1369125,21,4,1984,39.598253,-121.557489,1400,377,NA
s_diversifolius,1368852,29,4,1986,39.598253,-121.557489,1000,380,NA
s_tortuosus,1369158,22,5,1996,39.825024,-121.411741,100,430,NA
s_tortuosus,1369157,22,5,1996,39.79721,-121.453066,2000,500,600
s_diversifolius,1401054,12,4,2013,39.596111,-121.543889,500,400,NA
s_polygaloides,1402018,26,4,2013,39.698889,-121.566111,500,300,NA
s_drepanoides,1402016,26,4,2013,39.698333,-121.566667,500,304,NA
s_drepanoides,1402017,26,4,2013,39.698333,-121.566667,500,304,NA
s_diversifolius,1368854,6,4,1998,39.598253,-121.557489,3100,300,400
s_diversifolius,1401924,15,5,2010,39.596111,-121.544444,3100,300,400
s_diversifolius,1402014,19,4,2013,39.596389,-121.544444,5000,300,450
s_tortuosus,1401975,10,4,2011,39.595556,-121.546944,5000,300,450
s_tortuosus,1402015,19,4,2013,39.595556,-121.546944,5000,300,450
s_tortuosus,1401923,15,5,2010,39.595556,-121.546944,5000,300,450
s_polygaloides,2047466,18,5,1982,39.54656,-121.216683,500,585,685
s_drepanoides,2049525,7,4,1982,39.710636,-121.563774,500,300,450
s_drepanoides,2049527,22,4,1982,39.710636,-121.563774,500,300,450
s_drepanoides,2049528,2,6,1982,39.710636,-121.563774,500,300,450
s_drepanoides,C87030,22,4,1982,39.7069,-121.56271,200,280,NA
s_drepanoides,C87031,2,6,1982,39.7069,-121.56271,200,280,NA
s_polygaloides,2051178,30,6,1983,39.799346,-121.485044,150,845,860
s_polygaloides,2045228,2,6,1981,39.728247,-121.484063,60,690,710
s_polygaloides,2045227,1,6,1981,39.905173,-121.62607,250,630,850
s_polygaloides,2043615,31,5,1978,39.860236,-121.553151,300,762,NA
