1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4600000048328721
Is Mission Active?  true
Mission Start:  Thu Oct 28 12:10:00 PDT 2021
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  2716
Total Samples:  12445
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/28/21 12:10:00 PM,C,26.5
10/28/21 1:10:00 PM,C,27.5
10/28/21 2:10:00 PM,C,28.5
10/28/21 3:10:00 PM,C,28.5
10/28/21 4:10:00 PM,C,26.5
10/28/21 5:10:00 PM,C,22.5
10/28/21 6:10:00 PM,C,19.5
10/28/21 7:10:00 PM,C,17
10/28/21 8:10:00 PM,C,15.5
10/28/21 9:10:00 PM,C,14.5
10/28/21 10:10:00 PM,C,14
10/28/21 11:10:00 PM,C,13.5
10/29/21 12:10:00 AM,C,13
10/29/21 1:10:00 AM,C,12.5
10/29/21 2:10:00 AM,C,12
10/29/21 3:10:00 AM,C,11.5
10/29/21 4:10:00 AM,C,11.5
10/29/21 5:10:00 AM,C,11.5
10/29/21 6:10:00 AM,C,11
10/29/21 7:10:00 AM,C,11.5
10/29/21 8:10:00 AM,C,12
10/29/21 9:10:00 AM,C,14
10/29/21 10:10:00 AM,C,16.5
10/29/21 11:10:00 AM,C,19.5
10/29/21 12:10:00 PM,C,23.5
10/29/21 1:10:00 PM,C,27.5
10/29/21 2:10:00 PM,C,29
10/29/21 3:10:00 PM,C,28.5
10/29/21 4:10:00 PM,C,27
10/29/21 5:10:00 PM,C,25
10/29/21 6:10:00 PM,C,21.5
10/29/21 7:10:00 PM,C,18
10/29/21 8:10:00 PM,C,17
10/29/21 9:10:00 PM,C,16.5
10/29/21 10:10:00 PM,C,16.5
10/29/21 11:10:00 PM,C,16
10/30/21 12:10:00 AM,C,15.5
10/30/21 1:10:00 AM,C,15
10/30/21 2:10:00 AM,C,14.5
10/30/21 3:10:00 AM,C,13.5
10/30/21 4:10:00 AM,C,13.5
10/30/21 5:10:00 AM,C,13.5
10/30/21 6:10:00 AM,C,13.5
10/30/21 7:10:00 AM,C,13.5
10/30/21 8:10:00 AM,C,14
10/30/21 9:10:00 AM,C,16
10/30/21 10:10:00 AM,C,22
10/30/21 11:10:00 AM,C,25.5
10/30/21 12:10:00 PM,C,29
10/30/21 1:10:00 PM,C,29
10/30/21 2:10:00 PM,C,25
10/30/21 3:10:00 PM,C,23.5
10/30/21 4:10:00 PM,C,21.5
