"","phy_order","transplantjul.std.trend","SE","df","lower.CL","upper.CL"
"1","STTO",-0.968760765135176,0.121392726090285,893,-1.20700904840298,-0.730512481867373
"2","STDI",-0.644395878301227,0.0428527824090188,893,-0.728499779507006,-0.560291977095449
"3","STPO",-0.605948513290404,0.0600705608337576,893,-0.723844440456029,-0.488052586124779
"4","STDR",-0.745492151568295,0.0458052071865587,893,-0.835390552637294,-0.655593750499295
"5","STBR",-0.687502338478642,0.0526342125803066,893,-0.790803509745561,-0.584201167211724
"6","STIN",-0.360485386090808,0.0228638082696841,893,-0.405358445990337,-0.31561232619128
"7","STGL",-0.609139212542363,0.0597600562536799,893,-0.726425735952649,-0.491852689132078
"8","CAAN",-0.600957589963518,0.0319482955757567,893,-0.663660083098035,-0.538255096829001
"9","CACO",-0.567666825138412,0.0410183370877271,893,-0.648170399845045,-0.48716325043178
"10","CAIN",-0.540726910839093,0.0402154932313218,893,-0.61965480488774,-0.461799016790447
