"","phy_order","seed.source","transplantjul.std.trend","SE","df","lower.CL","upper.CL"
"1","STTO","Field",0.0302484441518891,0.107900176100673,737,-0.181579887683173,0.242076775986951
"3","STPO","Field",0.396020084660173,0.0533880643503991,737,0.291209276930848,0.500830892389499
"7","STGL","Field",0.400220200540862,0.0532656000467637,737,0.295649813263902,0.504790587817821
"8","CAAN","Field",0.411575732895873,0.0480511843171346,737,0.317242224050615,0.505909241741131
"10","CAIN","Field",0.47498039181813,0.0548110813962065,737,0.367375934088596,0.582584849547665
"12","STDI","SH",0.347935785407611,0.0382728460368377,737,0.272798993017215,0.423072577798008
"14","STDR","SH",0.259687121285592,0.040760505340827,737,0.179666585980389,0.339707656590794
"15","STBR","SH",0.312815578107982,0.0467709450518566,737,0.220995419636319,0.404635736579645
"16","STIN","SH",0.640296856889547,0.0203155672136184,737,0.60041357895005,0.680180134829044
"19","CACO","SH",0.431969316997204,0.0364516917311868,737,0.360407792901276,0.503530841093132
