"","phy_order","transplantjul.std.trend","SE","df","lower.CL","upper.CL"
"1","STTO",0.0312392348648653,0.121392726090285,893,-0.207009048402939,0.269487518132669
"2","STDI",0.355604121698814,0.0428527824090189,893,0.271500220493036,0.439708022904593
"3","STPO",0.394051486709637,0.0600705608337578,893,0.276155559544012,0.511947413875262
"4","STDR",0.254507848431747,0.0458052071865587,893,0.164609447362747,0.344406249500746
"5","STBR",0.312497661521399,0.0526342125803067,893,0.209196490254481,0.415798832788318
"6","STIN",0.639514613909233,0.0228638082696841,893,0.594641554009704,0.684387673808762
"7","STGL",0.390860787457679,0.05976005625368,893,0.273574264047393,0.508147310867965
"8","CAAN",0.39904241003652,0.0319482955757568,893,0.336339916902003,0.461744903171037
"9","CACO",0.43233317486163,0.0410183370877272,893,0.351829600154997,0.512836749568262
"10","CAIN",0.459273089160949,0.0402154932313218,893,0.380345195112302,0.538200983209595
