"","Species","transplant.daySept1.trend","SE","df","lower.CL","upper.CL"
"1","CAAN",0.0111771821232352,0.0125059513735493,691,-0.0133770403497329,0.0357314045962034
"2","CACO",0.00189628979567759,0.0122005568489075,691,-0.0220583201507345,0.0258508997420897
"3","CAIN",0.00618308009375046,0.0126884192052977,691,-0.0187294002678888,0.0310955604553898
"4","STBR",-0.0350362291729083,0.013881833423977,691,-0.0622918625944445,-0.00778059575137202
"5","STDI",-0.135142783836733,0.0114083075334984,691,-0.157541889098731,-0.112743678574735
"6","STDR",-0.0115002872595428,0.0118137915624319,691,-0.0346955210813181,0.0116949465622326
"7","STGL",-0.0196802417157122,0.0163393116403224,691,-0.0517608952452142,0.0124004118137899
"8","STIN",-0.0291889711499566,0.00713761829766876,691,-0.043202992344599,-0.0151749499553142
"9","STPO",-0.0358859436640074,0.0151989370088055,691,-0.0657275822182859,-0.00604430510972895
"10","STTO",0.0901752677475205,0.033460413455139,691,0.0244789915127755,0.155871543982265
