"","phy_order","transplantjul.std.trend","SE","df","lower.CL","upper.CL"
"1","STTO",0.0593532699821889,0.0994122706043468,806,-0.135784229041916,0.254490769006294
"2","STDI",0.387670976233502,0.0390500531731102,806,0.311019173929472,0.464322778537531
"3","STPO",0.50294175587534,0.0476180867110173,806,0.409471661161554,0.596411850589127
"4","STDR",0.311158215631365,0.0430643751470108,806,0.226626654163781,0.39568977709895
"5","STBR",0.378909378753582,0.041225920793727,806,0.29798654065977,0.459832216847393
"6","STIN",0.700658932417273,0.0203648551899934,806,0.660684521958635,0.740633342875911
"7","STGL",0.449230741671771,0.052332559241854,806,0.34650655414537,0.551954929198172
"8","CAAN",0.562754034281331,0.0479263873642067,806,0.468678772639506,0.656829295923155
"9","CACO",0.509217427163229,0.0357170927544269,806,0.439107931523099,0.579326922803359
"10","CAIN",0.576521474645552,0.0469681197688664,806,0.484327207581296,0.668715741709808
