"","Species","seed.source","transplant.daySept1.trend","SE","df","lower.CL","upper.CL"
"3","CAIN","Field",0.0105392391789658,0.0136455259655577,581,-0.0162613303532686,0.0373398087112002
"5","STDI","Field",-0.097101140585383,0.00789955076050106,581,-0.112616296246264,-0.0815859849245019
"7","STGL","Field",0.000862510749560353,0.0109533140078931,581,-0.0206504052360814,0.0223754267352021
"8","STIN","Field",-0.0187130488266933,0.00693402050878355,581,-0.0323318495422286,-0.00509424811115795
"9","STPO","Field",-0.0317504599628074,0.00932502415563868,581,-0.0500653244029005,-0.0134355955227143
"10","STTO","Field",0.0394357159908688,0.0207014980233322,581,-0.00122317386036255,0.0800946058421001
"11","CAAN","SH",0.00201849557659654,0.0164372663991729,581,-0.0302652069470597,0.0343021981002528
"12","CACO","SH",0.00416733502876737,0.0117195609670123,581,-0.0188505324668838,0.0271852025244185
"14","STBR","SH",-0.0223305889531615,0.00819929230152114,581,-0.0384344536188904,-0.00622672428743254
"16","STDR","SH",-0.00703553730660307,0.0084677532414713,581,-0.0236666741424179,0.0095955995292118
