"","Species","transplant.daySept1.trend","SE","df","lower.CL","upper.CL"
"1","CAAN",0.00114059116395224,0.0190977714820077,571,-0.0363698621371971,0.0386510444651016
"2","CACO",0.00448923857315959,0.011697438197839,571,-0.0184860184968341,0.0274644956431533
"3","CAIN",0.0105153335242211,0.0136188492788838,571,-0.0162338194003617,0.0372644864488039
"4","STBR",-0.0223290929079569,0.00818348152216799,571,-0.0384024919308376,-0.00625569388507628
"5","STDI",-0.0969964612439051,0.00788621259046391,571,-0.112485986258707,-0.081506936229103
"6","STDR",-0.00707430105045896,0.008452339876916,571,-0.0236757720931509,0.00952716999223302
"7","STGL",0.000649636617747978,0.0109361696863029,571,-0.0208303922273969,0.0221296654628929
"8","STIN",-0.0187577436965607,0.00692081031845475,571,-0.032351095805789,-0.00516439158733243
"9","STPO",-0.0317121487215256,0.00930711012867957,571,-0.0499924973045734,-0.0134318001384779
"10","STTO",0.0396530836081258,0.0206629433352871,571,-0.000931566374349539,0.0802377335906011
