"","phy_order","seed.source","transplantjul.std.trend","SE","df","lower.CL","upper.CL"
"1","STTO","Field",-0.94020670706579,0.104667809935034,867,-1.14563862865543,-0.734774785476151
"3","STPO","Field",-0.499609246324469,0.0501398618437715,867,-0.598018950064313,-0.401199542584624
"7","STGL","Field",-0.5708666004668,0.0549977273761115,867,-0.67881085596379,-0.46292234496981
"10","CAIN","Field",-0.430465428053104,0.0446450804992007,867,-0.518090502869971,-0.342840353236237
"12","STDI","SH",-0.596308437337375,0.0410281258072919,867,-0.676834500976663,-0.515782373698087
"14","STDR","SH",-0.698703443117537,0.0453183392485463,867,-0.787649925525629,-0.609756960709445
"15","STBR","SH",-0.622952602326536,0.0434106059643729,867,-0.708154769126119,-0.537750435526953
"16","STIN","SH",-0.300283034272278,0.0214454745012603,867,-0.34237415129221,-0.258191917252346
"18","CAAN","SH",-0.523783852213685,0.038664771391377,867,-0.599671350859972,-0.447896353567398
"19","CACO","SH",-0.490286642742608,0.0376123566483065,867,-0.564108562839841,-0.416464722645375
