"","Species","transplant.daySept1.trend","SE","df","lower.CL","upper.CL"
"1","CAAN",-1.0690040520426e-05,6.39224729139637e-06,711,-2.32399786379321e-05,1.85989759708015e-06
"2","CACO",-1.38048279904942e-05,6.78432355337761e-06,711,-2.71245318258928e-05,-4.85124155095687e-07
"3","CAIN",-3.19984460781767e-06,9.62921575519324e-06,711,-2.21049426647159e-05,1.57052534490805e-05
"4","STBR",-1.3847877142357e-05,8.4257746997328e-06,711,-3.03902520307659e-05,2.69449774605198e-06
"5","STDI",-2.22061008315221e-05,6.84433649342026e-06,711,-3.56436284383506e-05,-8.76857322469367e-06
"6","STDR",-7.90264291746764e-06,7.17159186950134e-06,711,-2.19826730013149e-05,6.1773871663796e-06
"7","STGL",-1.42834529618798e-05,9.91899800930507e-06,711,-3.37574822867453e-05,5.19057636298577e-06
"8","STIN",-3.98341450875977e-05,3.46383845061283e-06,711,-4.66347202566371e-05,-3.30335699185583e-05
"9","STPO",-9.17926612221616e-08,9.22443510540408e-06,711,-1.82021823981129e-05,1.80185970756686e-05
"10","STTO",5.7929429958489e-06,2.09551680998919e-05,711,-3.53484664188882e-05,4.6934352410586e-05
