"","Species","seed.source","transplant.daySept1.trend","SE","df","lower.CL","upper.CL"
"1","CAAN","Field",-1.57603512603491e-05,9.17270597004652e-06,687,-3.37702536878761e-05,2.24955116717786e-06
"3","CAIN","Field",-1.41020263721484e-05,8.20912790967275e-06,687,-3.02200174154768e-05,2.01596467117998e-06
"5","STDI","Field",-2.2376111890563e-05,6.83480445299663e-06,687,-3.57957245666545e-05,-8.95649921447152e-06
"7","STGL","Field",-1.4076845664476e-05,9.90826511904431e-06,687,-3.35309618874069e-05,5.37727055845489e-06
"8","STIN","Field",-3.98207861342583e-05,3.46412931749884e-06,687,-4.66223375203182e-05,-3.30192347481984e-05
"9","STPO","Field",-5.11528628143391e-08,9.22625791270132e-06,687,-1.8166200409477e-05,1.80638946838483e-05
"10","STTO","Field",5.79311261715584e-06,2.09621510425576e-05,687,-3.5364458134633e-05,4.69506833689447e-05
"12","CACO","SH",-1.37265435207634e-05,6.78310212784e-06,687,-2.70446426593679e-05,-4.08444382158884e-07
"14","STBR","SH",-1.38655599330963e-05,8.4268312586453e-06,687,-3.04109947521159e-05,2.67987488592323e-06
"16","STDR","SH",-7.7499711044309e-06,7.16726534285982e-06,687,-2.18223451583489e-05,6.32240294948706e-06
