"","Species","transplant.daySept1.trend","SE","df","asymp.LCL","asymp.UCL"
"1","CAAN",-0.00830466833848317,0.00367341191080663,Inf,-0.0155044233840446,-0.00110491329292172
"2","CACO",-0.0108808971693132,0.00491413703004509,Inf,-0.0205124287632963,-0.00124936557533024
"3","CAIN",-0.0289013962057367,0.00789346045501728,Inf,-0.0443722944109617,-0.0134304980005117
"4","STBR",-0.01162312276401,0.004849644532194,Inf,-0.0211282513849318,-0.00211799414308818
"5","STDI",-0.0265826151597376,0.00479466001794001,Inf,-0.0359799761130142,-0.0171852542064611
"6","STDR",-0.00345333967618269,0.00399720205569361,Inf,-0.0112877117442716,0.00438103239190624
"7","STGL",-0.00623277757599664,0.00565277409728852,Inf,-0.0173120112194231,0.00484645606742978
"8","STIN",-0.0215002636406316,0.00217046435451014,Inf,-0.0257542956051995,-0.0172462316760638
"9","STPO",0.00987432852906814,0.0101791340481288,Inf,-0.0100764075990698,0.0298250646572061
"10","STTO",0.0110332283491454,0.0119418951824529,Inf,-0.0123724561156146,0.0344389128139055
