"","Species","seed.source","transplant.daySept1.trend","SE","df","asymp.LCL","asymp.UCL"
"1","CAAN","Field",-0.0112249725595607,0.005209310794537,Inf,-0.021435034101129,-0.00101491101799248
"3","CAIN","Field",-0.0289436082053433,0.00794506197412843,Inf,-0.0445156435295737,-0.0133715728811129
"5","STDI","Field",-0.0268117652859171,0.00485703758975899,Inf,-0.036331384033402,-0.0172921465384323
"7","STGL","Field",-0.0062879522747793,0.00573425924676627,Inf,-0.017526893876457,0.00495098932689836
"8","STIN","Field",-0.021602432872359,0.00220004428370621,Inf,-0.0259144404328164,-0.0172904253119016
"9","STPO","Field",0.00984268483131738,0.0102224068477756,Inf,-0.0101928644256384,0.0298782340882731
"10","STTO","Field",0.010598507166433,0.012107945852573,Inf,-0.0131326306313712,0.0343296449642372
"12","CACO","SH",-0.0109108937587224,0.00496632954530254,Inf,-0.0206447208028726,-0.00117706671457225
"14","STBR","SH",-0.011701958345286,0.00491890748226385,Inf,-0.0213428398538078,-0.00206107683676428
"16","STDR","SH",-0.0035085388442256,0.00405719480415528,Inf,-0.011460494538633,0.00444341685018178
