"","Species","transplant.daySept1.trend","SE","df","asymp.LCL","asymp.UCL"
"1","CAAN",-0.0143724669743631,0.00409946224205669,Inf,-0.0224072653247761,-0.00633766862395022
"2","CACO",-0.0126429611740365,0.00523928796798092,Inf,-0.0229117768959132,-0.00237414545215988
"3","CAIN",-0.0111144813842431,0.00546069999685803,Inf,-0.0218172567084628,-0.000411706060023383
"4","STBR",-0.0234460988668766,0.00359299408022613,Inf,-0.0304882378607854,-0.0164039598729678
"5","STDI",-0.0260888701936745,0.00545313512165503,Inf,-0.0367768186349487,-0.0154009217524002
"6","STDR",0.00205376025787547,0.00451678193069977,Inf,-0.00679896965231738,0.0109064901680683
"7","STGL",-0.00356948890524972,0.00650756645422985,Inf,-0.0163240847825412,0.00918510697204181
"8","STIN",-0.0238157411385973,0.00268938852257247,Inf,-0.0290868457832748,-0.0185446364939199
"9","STPO",-0.00976029306561135,0.00768995378803614,Inf,-0.0248323255329395,0.00531173940171683
"10","STTO",-0.0207478128327258,0.0063803020296689,Inf,-0.0332529750213647,-0.008242650644087
