"","Species","seed.source","transplant.daySept1.trend","SE","df","asymp.LCL","asymp.UCL"
"1","CAAN","Field",-0.0179739654203779,0.00520587051823581,Inf,-0.0281772841442989,-0.00777064669645683
"3","CAIN","Field",-0.0112068995781021,0.00557320240459841,Inf,-0.022130175569667,-0.000283623586537165
"5","STDI","Field",-0.026420558053864,0.00561089531761174,Inf,-0.0374177107974075,-0.0154234053103206
"7","STGL","Field",-0.00362516657206469,0.00671396677585347,Inf,-0.016784299646136,0.00953396650200661
"8","STIN","Field",-0.0240936678279681,0.00277071610642217,Inf,-0.0295241716079406,-0.0186631640479956
"9","STPO","Field",-0.00981822361287437,0.00775464670165185,Inf,-0.0250170518609443,0.00538060463519558
"10","STTO","Field",-0.021215082289751,0.0065772132138807,Inf,-0.0341061833075981,-0.00832398127190391
"12","CACO","SH",-0.0129640722380794,0.00536099341276354,Inf,-0.0234714262484524,-0.00245671822770638
"14","STBR","SH",-0.0236883376754525,0.00369022992847666,Inf,-0.0309210554299386,-0.0164556199209665
"16","STDR","SH",0.00172684620736279,0.0046643688091739,Inf,-0.00741514866923003,0.0108688410839556
