sp,Pop,days.2.bud,days.2.flower,days.2.fruit,sept.1.bud,sept.1.flower,sept.1.fruit,pflwr,sizeflw,seed_num_nb,year1fit,seed_mass
Caulanthus_inflatus,CAIN,-0.42594017,-0.540726911,-0.490612664,0.57405983,0.459273089,0.509387336,-0.007414257,0.00618308,-0.017854103,-0.018424223,-9.08E-06
Caulanthus_coulteri,CACO1,-0.49039925,-0.567666825,-0.630619189,0.50960075,0.432333175,0.369380811,-0.005099964,0.00189629,-0.011197204,-0.013278726,-1.40E-05
Caulanthus_anceps,CAAN,-0.492167267,-0.60095759,-0.718517325,0.507832733,0.39904241,0.281482675,-0.024539793,0.011177182,-0.008863428,-0.015234471,-1.21E-05
Streptanthus_glandulosus,STGL1,-0.561671274,-0.609139213,-0.689778887,0.438328726,0.390860787,0.310221113,0.011012695,-0.019680242,-0.006475986,-0.003791722,-1.51E-05
Streptanthus_insignis,STIN,-0.299893324,-0.360485386,-0.447357377,0.700106676,0.639514614,0.552642623,-0.006613592,-0.029188971,-0.021665563,-0.024024898,-3.99E-05
Streptanthus_polygaloides,STPO,-0.499992568,-0.605948513,-0.844132203,0.500007432,0.394051487,0.155867797,-0.02367156,-0.035885944,0.009759298,-0.009829682,-1.50E-07
Streptanthus_diversifolius,STDI,-0.604063703,-0.644395878,-0.678395449,0.395936297,0.355604122,0.321604551,-0.000185615,-0.135142784,-0.026362206,-0.025450711,-2.17E-05
Streptanthus_tortuosus,STTO_TM2,-0.943792096,-0.968760765,-1.05816793,0.056207904,0.031239235,-0.05816793,-0.025932684,0.090175268,0.010524709,-0.02047685,5.49E-06
Streptanthus_breweri,STBR3,-0.622549428,-0.687502338,-0.780044353,0.377450572,0.312497662,0.219955647,-0.016726817,-0.035036229,-0.011531636,-0.023505413,-1.39E-05
Streptanthus_drepanoides,STDR2,-0.694580969,-0.745492152,-0.789975657,0.305419031,0.254507848,0.210024343,0.055827565,-0.011500287,-0.003997193,0.001271474,-8.21E-06
