"","phy_order","transplantjul.std.trend","SE","df","lower.CL","upper.CL"
"1","STDR",0.305419030503314,0.0462425001554934,979,0.214673206475715,0.396164854530913
"2","STBR",0.377450572338607,0.044318456221059,979,0.290480473060069,0.464420671617145
"3","STTO",0.0562079037399359,0.106844117300094,979,-0.153461933191377,0.265877740671249
"4","STDI",0.3959362971611,0.0417752757298577,979,0.313956910074787,0.477915684247414
"5","STPO",0.500007432142124,0.051186473171439,979,0.399559604464342,0.600455259819907
"6","STIN",0.70010667609801,0.0218965591965473,979,0.657137085332409,0.74307626686361
"7","STGL",0.438328726336861,0.0560290820429367,979,0.32837781100141,0.548279641672312
"8","CAAN",0.507832732833054,0.0313771679941863,979,0.446258489318744,0.569406976347363
"9","CACO",0.509600749767796,0.0384035895868482,979,0.434237926154068,0.584963573381525
"10","CAIN",0.574059830381686,0.0339891812200695,979,0.507359797998766,0.640759862764606
