"","phy_order","transplantjul.std.trend","SE","df","lower.CL","upper.CL"
"1","STTO",0.0563425444209199,0.106760863340913,981,-0.153163387065828,0.265848475907668
"2","STDI",0.396147104033642,0.0417372722680488,981,0.314242501255081,0.478051706812202
"3","STPO",0.500035771640295,0.051146790773703,981,0.399666069595219,0.600405473685371
"4","STDR",0.305285365927279,0.0462047393669652,981,0.21461387211154,0.395956859743018
"5","STBR",0.377478493343063,0.0442840913229114,981,0.290576050703342,0.464380935982785
"6","STIN",0.70009908619408,0.0218795718834697,981,0.657162939515122,0.743035232873038
"7","STGL",0.438059535579492,0.0559788760290515,981,0.328207421246193,0.547911649912792
"8","CAAN",0.506304777172242,0.0312473871566236,981,0.444985369030413,0.567624185314072
"9","CACO",0.509588160914476,0.0383738237198842,981,0.434283939577576,0.584892382251376
"10","CAIN",0.575449009374975,0.0336646778931368,981,0.509385945818798,0.641512072931151
