"","Species","transplant.daySept1.trend","SE","df","lower.CL","upper.CL"
"1","CAAN",0.00354120030685411,0.0119323627400063,642,-0.0198899743322883,0.0269723749459965
"2","CACO",0.0040796754883322,0.011603549728913,642,-0.0187058202308494,0.0268651712075138
"3","CAIN",8.13326516696301e-05,0.00949581884617097,642,-0.0185652836618213,0.0187279489651605
"4","STBR",-0.022240287100235,0.00812200800716,642,-0.0381891978216819,-0.00629137637878814
"5","STDI",-0.0970262153682619,0.00780981009328345,642,-0.11236207367072,-0.0816903570658042
"6","STDR",-0.00720539373406531,0.00838003984734731,642,-0.0236609927989379,0.00925020533080725
"7","STGL",0.000794204017691658,0.0108145873005466,642,-0.020442033030297,0.0220304410656803
"8","STIN",-0.018613762491093,0.00686780898731483,642,-0.0320998452792501,-0.0051276797029359
"9","STPO",-0.0316023351245191,0.00923674534309155,642,-0.0497402176166122,-0.0134644526324261
"10","STTO",0.0397840577469737,0.0205012128225752,642,-0.000473476190494808,0.0800415916844421
