"","contrast","estimate","SE","df","t.ratio","p.value"
"1","STDR - STBR",-0.0720315418352926,0.0640318785233321,979,-1.12493251012534,0.982150926069495
"2","STDR - STTO",0.249211126763378,0.116526918367996,979,2.1386571468093,0.500426241626718
"3","STDR - STDI",-0.0905172666577854,0.0630107246910907,979,-1.43653746408322,0.915553035043391
"4","STDR - STPO",-0.19458840163881,0.0689580390647781,979,-2.82183780568378,0.13048837383103
"5","STDR - STIN",-0.394687645594705,0.051122412616648,979,-7.72044247117897,9.47797396122496e-13
"6","STDR - STGL",-0.132909695833547,0.0718935458946642,979,-1.8487013567015,0.703687391379338
"7","STDR - CAAN",-0.202413702329739,0.0561265013389824,979,-3.6063837492246,0.012044638646575
"8","STDR - CACO",-0.204181719264482,0.0601096879975099,979,-3.39681881684264,0.0246253301766709
"9","STDR - CAIN",-0.268640799878371,0.0578553980758563,979,-4.6433143459863,0.000167731969580531
"10","STBR - STTO",0.32124266859867,0.115610468548658,979,2.77866418700194,0.145147910525753
"11","STBR - STDI",-0.0184857248224928,0.0609673216853028,979,-0.303207100320254,0.999999629067391
"12","STBR - STPO",-0.122556859803517,0.0676469563934347,979,-1.81171284470992,0.727809781036942
"13","STBR - STIN",-0.322656103759412,0.0494215834903033,979,-6.52864762665321,4.78078698851192e-09
"14","STBR - STGL",-0.0608781539982549,0.0713831402610197,979,-0.852836591044437,0.997668592212502
"15","STBR - CAAN",-0.130382160494446,0.054344024923203,979,-2.39919955650502,0.327296357997954
"16","STBR - CACO",-0.132150177429189,0.0586696553755188,979,-2.25244509420336,0.421483536948218
"17","STBR - CAIN",-0.196609258043079,0.055871242253033,979,-3.5189705851297,0.0163380042416993
"18","STTO - STDI",-0.339728393421163,0.114481608423657,979,-2.96753686551944,0.0892924953374205
"19","STTO - STPO",-0.443799528402188,0.118339150065928,979,-3.75023420528999,0.00714915285474249
"20","STTO - STIN",-0.643898772358083,0.109069526556824,979,-5.90356255028408,2.19447765514857e-07
"21","STTO - STGL",-0.382120822596925,0.120898136867033,979,-3.16068413045267,0.0515671473315997
"22","STTO - CAAN",-0.451624829093117,0.111327467793723,979,-4.05672416738991,0.00217310320068631
"23","STTO - CACO",-0.45339284602786,0.113557836297039,979,-3.99261610481812,0.00281215410347835
"24","STTO - CAIN",-0.517851926641749,0.112023807474368,979,-4.62269528519854,0.00018463835935667
"25","STDI - STPO",-0.104071134981024,0.0660798600264185,979,-1.57492971291733,0.860127241133308
"26","STDI - STIN",-0.304170378936919,0.0472480473487122,979,-6.437734382799,8.5193710974707e-09
"27","STDI - STGL",-0.0423924291757621,0.0712864842932422,979,-0.594676951683824,0.999873970229589
"28","STDI - CAAN",-0.111896435671953,0.0517630630373931,979,-2.16170429464579,0.484162421243924
"29","STDI - CACO",-0.113664452606696,0.0567311287167301,979,-2.00356409572328,0.596706081569605
"30","STDI - CAIN",-0.178123533220586,0.0530289502208697,979,-3.35898660031337,0.0278559363341031
"31","STPO - STIN",-0.200099243955895,0.055665749482285,979,-3.59465642368786,0.0125542483233503
"32","STPO - STGL",0.0616787058052624,0.0758595863635993,979,0.813064093305662,0.998393491275573
"33","STPO - CAAN",-0.00782530069092899,0.0600851952583051,979,-0.130236752286286,0.999999999802439
"34","STPO - CACO",-0.00959331762567189,0.0640118135519843,979,-0.14986792426809,0.999999999304475
"35","STPO - CAIN",-0.0740523982395615,0.0614833559648021,979,-1.20442999698902,0.971688736677915
"36","STIN - STGL",0.261777949761157,0.0600779706297075,979,4.35730346776581,0.000611592931332283
"37","STIN - CAAN",0.192273943264966,0.0382953187397643,979,5.02082107140987,2.6852089877849e-05
"38","STIN - CACO",0.190505926330223,0.0442112810848812,979,4.30898905563199,0.000754694169015968
"39","STIN - CAIN",0.126046845716333,0.0404851038398918,979,3.11341292873587,0.0592632748745537
"40","STGL - CAAN",-0.0695040064961914,0.064714076297734,979,-1.07401682095283,0.987080796520645
"41","STGL - CACO",-0.0712720234309343,0.0679350823174692,979,-1.04911955648881,0.989063773262332
"42","STGL - CAIN",-0.135731104044824,0.0663855096832261,979,-2.04458931915257,0.567464987423128
"43","CAAN - CACO",-0.00176801693474291,0.049580237100799,979,-0.0356597111697639,1
"44","CAAN - CAIN",-0.0662270975486325,0.0459442400943028,979,-1.44146681744432,0.913875622152798
"45","CACO - CAIN",-0.0644590806138896,0.0512866550869508,979,-1.25683924023913,0.962624033835594
