,phy_order,transplantjul.std.trend,SE,df,lower.CL,upper.CL
1,STDR,-0.694580969,0.0462425,979,-0.785326794,-0.603835145
2,STBR,-0.622549428,0.044318456,979,-0.709519527,-0.535579328
3,STTO,-0.943792096,0.106844117,979,-1.153461933,-0.734122259
4,STDI,-0.604063703,0.041775276,979,-0.68604309,-0.522084316
5,STPO,-0.499992568,0.051186473,979,-0.600440396,-0.39954474
6,STIN,-0.299893324,0.021896559,979,-0.342862915,-0.256923733
7,STGL,-0.561671274,0.056029082,979,-0.671622189,-0.451720358
8,CAAN,-0.492167267,0.031377168,979,-0.553741511,-0.430593024
9,CACO,-0.49039925,0.03840359,979,-0.565762074,-0.415036427
10,CAIN,-0.42594017,0.033989181,979,-0.492640202,-0.359240137
