sp,Pop,pflwr,sizeflw,seed_num_nb,year1fit,seed_mass,pflwr.se,sizeflw.se,seed_num_nb.se,year1fit.se,seed_mass.se,sizeflw.CAAN1.CAIN3,sizeflw.CAAN1.CAIN3.se,sizeflw.CAAN1.CAIN4,sizeflw.CAAN1.CAIN4.se,sizeflw.CAAN2.CAIN3,sizeflw.CAAN2.CAIN3.se,sizeflw.CAAN2.CAIN4,sizeflw.CAAN2.CAIN4.se,seed_num_nb.CAAN1.CAIN3,seed_num_nb.CAAN1.CAIN3.se,seed_num_nb.CAAN1.CAIN4,seed_num_nb.CAAN1.CAIN4.se,seed_num_nb.CAAN2.CAIN3,seed_num_nb.CAAN2.CAIN3.se,seed_num_nb.CAAN2.CAIN4,seed_num_nb.CAAN2.CAIN4.se,year1fit.CAAN1.CAIN3,year1fit.CAAN1.CAIN3.se,year1fit.CAAN1.CAIN4,year1fit.CAAN1.CAIN4.se,year1fit.CAAN2.CAIN3,year1fit.CAAN2.CAIN3.se,year1fit.CAAN2.CAIN4,year1fit.CAAN2.CAIN4.se,seed_mass.CAAN1.CAIN3,seed_mass.CAAN1.CAIN3.se,seed_mass.CAAN1.CAIN4,seed_mass.CAAN1.CAIN4.se,seed_mass.CAAN2.CAIN3,seed_mass.CAAN2.CAIN3.se,seed_mass.CAAN2.CAIN4,seed_mass.CAAN2.CAIN4.se
Caulanthus_inflatus,CAIN,-0.007414257,0.00618308,-0.017854103,-0.018424223,-9.08E-06,0.003114365,0.012688419,0.005054452,0.004469494,6.02E-06,0.021513306,0.017150361,-0.014005412,0.019036589,0.022077945,0.017395255,-0.013278995,0.019312939,-0.028901396,0.00789346,-0.007388278,0.006707391,-0.028943608,0.007945062,-0.007445192,0.006773698,-0.02808308,0.007519669,-0.011114481,0.0054607,-0.027905394,0.007614921,-0.0112069,0.005573202,-1.40E-05,8.09E-06,-3.20E-06,9.63E-06,-1.41E-05,8.21E-06,-3.31E-06,9.78E-06
Caulanthus_coulteri,CACO1,-0.005099964,0.00189629,-0.011197204,-0.013278726,-1.40E-05,0.00522475,0.012200557,0.004967646,0.00527139,6.50E-06,0.001957559,0.012291665,0.001605188,0.012268021,0.001836957,0.012468015,0.001458997,0.012446267,-0.010880897,0.004914137,-0.010756681,0.00492947,-0.010910894,0.00496633,-0.010773426,0.004982782,-0.012788323,0.005215403,-0.012642961,0.005239288,-0.013122779,0.005336057,-0.012964072,0.005360993,-1.38E-05,6.69E-06,-1.38E-05,6.78E-06,-1.37E-05,6.78E-06,-1.37E-05,6.89E-06
Caulanthus_anceps,CAAN,-0.024539793,0.011177182,-0.008863428,-0.015234471,-1.21E-05,0.005199124,0.012505951,0.003041509,0.003219155,5.04E-06,0.007299559,0.01499966,0.006661969,0.014970091,0.021566926,0.023437273,0.020595219,0.023393869,-0.008304668,0.003673412,-0.008451027,0.003689794,-0.011224973,0.005209311,-0.01138983,0.005229729,-0.01430191,0.004081459,-0.014372467,0.004099462,-0.017729068,0.005181752,-0.017973965,0.005205871,-1.07E-05,6.30E-06,-1.07E-05,6.39E-06,-1.58E-05,9.17E-06,-1.57E-05,9.31E-06
Streptanthus_glandulosus,STGL1,0.011012695,-0.019680242,-0.006475986,-0.003791722,-1.51E-05,0.009567822,0.016339312,0.005721409,0.00654505,9.49E-06,-0.018289057,0.016477556,-0.019981589,0.0164673,-0.019492208,0.016715762,-0.021305832,0.016708704,-0.006232778,0.005652774,-0.006217926,0.005678564,-0.006287952,0.005734259,-0.006273184,0.005761555,-0.003737638,0.006463432,-0.003569489,0.006507566,-0.003805371,0.006668188,-0.003625167,0.006713967,-1.43E-05,9.77E-06,-1.43E-05,9.92E-06,-1.41E-05,9.91E-06,-1.41E-05,1.01E-05
Streptanthus_insignis,STIN,-0.006613592,-0.029188971,-0.021665563,-0.024024898,-3.99E-05,0.004670203,0.007137618,0.00220297,0.0027215,3.32E-06,-0.028924185,0.00719097,-0.029094538,0.007176949,-0.029165761,0.007293738,-0.029353735,0.007280768,-0.021500264,0.002170464,-0.021490262,0.002177614,-0.021602433,0.002200044,-0.021590356,0.002207549,-0.023790837,0.002677394,-0.023815741,0.002689389,-0.024067015,0.002758459,-0.024093668,0.002770716,-3.98E-05,3.42E-06,-3.98E-05,3.46E-06,-3.98E-05,3.46E-06,-3.98E-05,3.52E-06
Streptanthus_polygaloides,STPO,-0.02367156,-0.035885944,0.009759298,-0.009829682,-1.50E-07,0.00449657,0.015198937,0.010245821,0.007729816,8.85E-06,-0.035625911,0.015312672,-0.035396581,0.015280279,-0.035985872,0.015531564,-0.035761051,0.015501353,0.009874329,0.010179134,0.009863293,0.010184265,0.009842685,0.010222407,0.009832346,0.01022768,-0.009768083,0.007686817,-0.009760293,0.007689954,-0.009824091,0.007751582,-0.009818224,0.007754647,1.67E-08,9.10E-06,-9.18E-08,9.22E-06,-5.12E-08,9.23E-06,-1.64E-07,9.36E-06
Streptanthus_diversifolius,STDI,-0.000185615,-0.135142784,-0.026362206,-0.025450711,-2.17E-05,0.005523444,0.011408308,0.004860225,0.005491654,6.54E-06,-0.13585769,0.011503835,-0.134806386,0.011497614,-0.135186875,0.011670564,-0.134055363,0.011666732,-0.026582615,0.00479466,-0.026793381,0.004811465,-0.026811765,0.004857038,-0.027041772,0.004874731,-0.02558827,0.005415442,-0.02608887,0.005453135,-0.02588874,0.005571538,-0.026420558,0.005610895,-2.22E-05,6.74E-06,-2.22E-05,6.84E-06,-2.24E-05,6.83E-06,-2.24E-05,6.95E-06
Streptanthus_tortuosus,STTO_TM2,-0.025932684,0.090175268,0.010524709,-0.02047685,5.49E-06,0.008702803,0.033460413,0.012131902,0.006447662,2.01E-05,0.090449612,0.0337159,0.091295322,0.033645234,0.08985913,0.034199458,0.090731429,0.034133724,0.011033228,0.011941895,0.010850166,0.011978699,0.010598507,0.012107946,0.010401392,0.012146772,-0.020465782,0.006346331,-0.020747813,0.006380302,-0.020907683,0.006540828,-0.021215082,0.006577213,6.04E-06,2.07E-05,5.79E-06,2.10E-05,5.79E-06,2.10E-05,5.53E-06,2.13E-05
Streptanthus_breweri,STBR3,-0.016726817,-0.035036229,-0.011531636,-0.023505413,-1.39E-05,0.003634471,0.013881833,0.004929133,0.003615374,8.08E-06,-0.03502923,0.013983779,-0.034928844,0.013954224,-0.035071106,0.014183682,-0.034964854,0.014156129,-0.011623123,0.004849645,-0.011655524,0.004864468,-0.011701958,0.004918907,-0.011736585,0.004934464,-0.023407412,0.003569203,-0.023446099,0.003592994,-0.023644831,0.003665028,-0.023688338,0.00369023,-1.38E-05,8.31E-06,-1.38E-05,8.43E-06,-1.39E-05,8.43E-06,-1.39E-05,8.55E-06
Streptanthus_drepanoides,STDR2,0.055827565,-0.011500287,-0.003997193,0.001271474,-8.21E-06,0.0144213,0.011813792,0.004057312,0.00455999,6.87E-06,-0.010771381,0.011907028,-0.011354006,0.011891347,-0.011446724,0.012077532,-0.012089064,0.01206383,-0.00345334,0.003997202,-0.003250484,0.004014699,-0.003508539,0.004057195,-0.003284694,0.004075731,0.00191009,0.004491217,0.00205376,0.004516782,0.001571742,0.004637829,0.001726846,0.004664369,-7.84E-06,7.07E-06,-7.90E-06,7.17E-06,-7.75E-06,7.17E-06,-7.79E-06,7.28E-06
