"","Species","transplant.daySept1.trend","SE","df","asymp.LCL","asymp.UCL"
"1","CAAN",-0.0245397925450235,0.00519912438665159,Inf,-0.0347298890940046,-0.0143496959960425
"2","CACO",-0.005099963689558,0.0052247499531618,Inf,-0.0153402854259825,0.00514035804686647
"3","CAIN",-0.00741425665643734,0.003114364821924,Inf,-0.0135182995421269,-0.00131021377074781
"4","STBR",-0.0167268166855137,0.00363447051734725,Inf,-0.023850248002387,-0.00960338536864046
"5","STDI",-0.000185614882029794,0.00552344358578102,Inf,-0.0110113653807994,0.0106401356167398
"6","STDR",0.0558275647364684,0.0144213002541501,Inf,0.0275623356280959,0.0840927938448409
"7","STGL",0.011012695020477,0.00956782209112372,Inf,-0.00773989168861221,0.0297652817295662
"8","STIN",-0.00661359220015888,0.00467020263187334,Inf,-0.0157670211591348,0.00253983675881705
"9","STPO",-0.0236715598644537,0.00449656977670113,Inf,-0.0324846746807592,-0.0148584450481481
"10","STTO",-0.0259326842011583,0.00870280254846562,Inf,-0.0429898637607144,-0.00887550464160233
