"","Species","transplant.daySept1.trend","SE","df","asymp.LCL","asymp.UCL"
"1","CAAN",-0.0247762627562492,0.00510734283167364,Inf,-0.0347864707630284,-0.0147660547494701
"2","CACO",-0.00395738921472075,0.00515734173807423,Inf,-0.0140655932773114,0.00615081484786994
"3","CAIN",-0.00885533761671131,0.00304825119508443,Inf,-0.014829800174908,-0.00288087505851465
"4","STBR",-0.0161512856888585,0.00363282216216439,Inf,-0.0232714862889396,-0.00903108508877734
"5","STDI",-0.00202699705005594,0.005382457466273,Inf,-0.0125764198322697,0.00852242573215785
"6","STDR",0.0587085174175627,0.0146152809105398,Inf,0.0300630932089691,0.0873539416261565
"7","STGL",0.0155253881935187,0.00933675407394536,Inf,-0.00277431352392187,0.0338250899109592
"8","STIN",-0.00646550952787877,0.00466229032094997,Inf,-0.0156034306424104,0.00267241158665286
"9","STPO",-0.0236607128937325,0.00449611560586103,Inf,-0.0324729375515486,-0.0148484882359164
"10","STTO",-0.0262504962172515,0.00857973184591829,Inf,-0.0430664616322627,-0.0094345308022403
