phy_order,Cohort,Status,Proportions
STDR,7-Oct,Flowered,0.416666667
STDR,28-Oct,Flowered,0.875
STDR,18-Nov,Flowered,1
STDR,9-Dec,Flowered,1
STDR,30-Dec,Flowered,0.95
STDR,27-Jan,Flowered,0.916666667
STDR,24-Mar,Flowered,1
STBR,7-Oct,Flowered,0.625
STBR,28-Oct,Flowered,0.375
STBR,18-Nov,Flowered,0.625
STBR,9-Dec,Flowered,0.458333333
STBR,30-Dec,Flowered,0.625
STBR,27-Jan,Flowered,0.208333333
STBR,24-Feb,Flowered,0.083333333
STBR,24-Mar,Flowered,0
STTO,7-Oct,Flowered,0.642857143
STTO,28-Oct,Flowered,0.266666667
STTO,18-Nov,Flowered,0.25
STTO,9-Dec,Flowered,0.470588235
STTO,30-Dec,Flowered,0
STTO,27-Jan,Flowered,0
STTO,24-Feb,Flowered,0
STTO,24-Mar,Flowered,0
STDI,7-Oct,Flowered,0.875
STDI,28-Oct,Flowered,0.470588235
STDI,18-Nov,Flowered,0.666666667
STDI,9-Dec,Flowered,0.904761905
STDI,30-Dec,Flowered,1
STDI,27-Jan,Flowered,0.875
STDI,24-Feb,Flowered,0.5
STDI,24-Mar,Flowered,0.5
STPO,7-Oct,Flowered,0.541666667
STPO,28-Oct,Flowered,0.625
STPO,18-Nov,Flowered,0.625
STPO,9-Dec,Flowered,0.333333333
STPO,30-Dec,Flowered,0.428571429
STPO,27-Jan,Flowered,0.25
STPO,24-Feb,Flowered,0
STPO,24-Mar,Flowered,0
STIN,7-Oct,Flowered,1
STIN,28-Oct,Flowered,1
STIN,18-Nov,Flowered,0.875
STIN,9-Dec,Flowered,1
STIN,30-Dec,Flowered,0.958333333
STIN,27-Jan,Flowered,0.958333333
STIN,24-Feb,Flowered,0.904761905
STIN,24-Mar,Flowered,0.791666667
STGL,7-Oct,Flowered,0.625
STGL,28-Oct,Flowered,0.894736842
STGL,18-Nov,Flowered,0.6875
STGL,9-Dec,Flowered,1
STGL,30-Dec,Flowered,1
STGL,27-Jan,Flowered,0.5
CAAN,7-Oct,Flowered,0.895833333
CAAN,28-Oct,Flowered,0.928571429
