,Species,transplant.daySept1.trend,SE,df,lower.CL,upper.CL
1,CAAN,-1.21E-05,5.04E-06,814,-2.20E-05,-2.21E-06
2,CACO,-1.40E-05,6.50E-06,814,-2.68E-05,-1.22E-06
3,CAIN,-9.08E-06,6.02E-06,814,-2.09E-05,2.75E-06
4,STBR,-1.39E-05,8.08E-06,814,-2.97E-05,2.00E-06
5,STDI,-2.17E-05,6.54E-06,814,-3.45E-05,-8.85E-06
6,STDR,-8.21E-06,6.87E-06,814,-2.17E-05,5.27E-06
7,STGL,-1.51E-05,9.49E-06,814,-3.38E-05,3.47E-06
8,STIN,-3.99E-05,3.32E-06,814,-4.64E-05,-3.34E-05
9,STPO,-1.50E-07,8.85E-06,814,-1.75E-05,1.72E-05
10,STTO,5.49E-06,2.01E-05,814,-3.40E-05,4.49E-05
