"","Species","transplant.daySept1.trend","SE","df","lower.CL","upper.CL"
"1","CAAN",-1.20694423755052e-05,5.02487431519311e-06,816,-2.19326446738948e-05,-2.20624007711548e-06
"2","CACO",-1.39540725583662e-05,6.49801298674292e-06,816,-2.6708862550232e-05,-1.1992825665004e-06
"3","CAIN",-9.4810080750533e-06,5.98196920575122e-06,816,-2.12228684118713e-05,2.26085226176473e-06
"4","STBR",-1.38714492121109e-05,8.07640710342918e-06,816,-2.97244302238781e-05,1.98153179965637e-06
"5","STDI",-2.17629416487861e-05,6.53675839525812e-06,816,-3.45937840507916e-05,-8.93209924678067e-06
"6","STDR",-8.15459728114188e-06,6.8625388664525e-06,816,-2.16249061634411e-05,5.31571160115729e-06
"7","STGL",-1.50528243658923e-05,9.47582064545904e-06,816,-3.36526798263224e-05,3.54703109453792e-06
"8","STIN",-3.98737355386564e-05,3.32003739349468e-06,816,-4.6390555342735e-05,-3.33569157345778e-05
"9","STPO",-1.39855899381784e-07,8.84060808416003e-06,816,-1.74928682346761e-05,1.72131564359125e-05
"10","STTO",5.48328341359396e-06,2.00807503535246e-05,816,-3.39327279364653e-05,4.48992947636532e-05
