"","Species","transplant.daySept1.trend","SE","df","asymp.LCL","asymp.UCL"
"1","CAAN",-0.00899039998239736,0.00303875065404975,Inf,-0.0149462418223324,-0.00303455814246232
"2","CACO",-0.0111527049618367,0.00497022709404511,Inf,-0.0208941710611503,-0.00141123886252308
"3","CAIN",-0.017187018238238,0.00496454430858566,Inf,-0.0269173462827192,-0.00745669019375676
"4","STBR",-0.0115608061047136,0.00492979871138732,Inf,-0.0212230340300647,-0.00189857817936245
"5","STDI",-0.0264621624919616,0.00486085242514263,Inf,-0.0359892581794054,-0.0169350668045179
"6","STDR",-0.00394195610864792,0.00405840611877798,Inf,-0.0118962859360897,0.00401237371879389
"7","STGL",-0.00642474863774175,0.00572244508160234,Inf,-0.0176405349011907,0.0047910376257072
"8","STIN",-0.0216598763454392,0.00220331468454166,Inf,-0.0259782937737491,-0.0173414589171293
"9","STPO",0.00976732424762109,0.0102439145790249,Inf,-0.0103103793879725,0.0298450278832146
"10","STTO",0.0105052587821245,0.0121316086010921,Inf,-0.0132722571505523,0.0342827747148013
