"","Species","transplant.daySept1.trend","SE","df","asymp.LCL","asymp.UCL"
"1","CAAN",-0.0152344712668276,0.00321915490063654,Inf,-0.0215438989327309,-0.00892504360092438
"2","CACO",-0.0132787263727494,0.00527139015357286,Inf,-0.0236104612222113,-0.00294699152328755
"3","CAIN",-0.0184242231979572,0.00446949374446479,Inf,-0.0271842699662353,-0.00966417642967916
"4","STBR",-0.0235054128663222,0.00361537378525536,Inf,-0.0305914152760729,-0.0164194104565714
"5","STDI",-0.0254507113449138,0.00549165378464067,Inf,-0.0362141549783726,-0.014687267711455
"6","STDR",0.00127147440996522,0.00455998977088591,Inf,-0.00766594131084222,0.0102088901307727
"7","STGL",-0.0037917222523854,0.00654505013912012,Inf,-0.0166197848020697,0.00903634029729891
"8","STIN",-0.024024897586548,0.0027215000625197,Inf,-0.0293589396930101,-0.0186908554800858
"9","STPO",-0.00982968187954723,0.00772981640795027,Inf,-0.0249798436462365,0.00532047988714208
"10","STTO",-0.0204768504972237,0.00644766221030576,Inf,-0.0331140362139029,-0.00783966478054448
