"","Species","transplant.daySept1.trend","SE","df","asymp.LCL","asymp.UCL"
"1","CAAN",-0.0151402984952426,0.00321222701368639,Inf,-0.0214361477522345,-0.00884444923825057
"2","CACO",-0.0131911947407651,0.00527132414029814,Inf,-0.023522800206586,-0.00285958927494418
"3","CAIN",-0.0179014811257746,0.0044110432915418,Inf,-0.0265469671114436,-0.00925599514010567
"4","STBR",-0.0235133319924004,0.00361742997832946,Inf,-0.0306033644665216,-0.0164232995182791
"5","STDI",-0.02555106761363,0.00549231935525901,Inf,-0.03631581574153,-0.0147863194857301
"6","STDR",0.00137510919155411,0.00455906729361371,Inf,-0.00756049850702325,0.0103107168901315
"7","STGL",-0.0037127709940031,0.00654450613109389,Inf,-0.0165397673075487,0.0091142253195425
"8","STIN",-0.0240038852724824,0.00272093332560905,Inf,-0.0293368165950109,-0.0186709539499538
"9","STPO",-0.00982504684268795,0.00772510815947213,Inf,-0.0249659806119298,0.00531588692655392
"10","STTO",-0.020512223597012,0.00644097827005568,Inf,-0.0331363090315262,-0.00788813816249775
